Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Anu Engineer,23,2,0.08695652173913043,38,2,0.05263157894736842,711,15,0.02109704641350211,15,0
Attila Doroszlai,324,14,0.043209876543209874,338,14,0.04142011834319527,591,14,0.023688663282571912,7,7
Arpit Agarwal,44,3,0.06818181818181818,95,8,0.08421052631578947,581,51,0.08777969018932874,43,8
Marton Elek,164,13,0.07926829268292683,188,14,0.07446808510638298,516,24,0.046511627906976744,22,2
Nandakumar,82,5,0.06097560975609756,85,5,0.058823529411764705,469,3,0.006396588486140725,2,1
Bharat Viswanadham,183,19,0.10382513661202186,195,17,0.08717948717948718,460,12,0.02608695652173913,6,6
Mukul Kumar Singh,240,19,0.07916666666666666,250,21,0.084,456,10,0.021929824561403508,9,1
Shashikant Banerjee,139,11,0.07913669064748201,140,11,0.07857142857142857,334,1,0.0029940119760479044,1,0
Ethan Rose,12,0,0,13,0,0,275,1,0.0036363636363636364,1,0
Xiaoyu Yao,75,5,0.06666666666666667,77,4,0.05194805194805195,238,2,0.008403361344537815,1,1
Lokesh Jain,92,7,0.07608695652173914,92,7,0.07608695652173914,176,0,0,0,0
Sammi Chen,77,7,0.09090909090909091,83,7,0.08433734939759036,142,6,0.04225352112676056,4,2
Aravindan Vijayan,64,12,0.1875,71,10,0.14084507042253522,140,7,0.05,7,0
Dinesh Chitlangia,38,3,0.07894736842105263,38,3,0.07894736842105263,131,0,0,0,0
Hanisha Koneru,47,2,0.0425531914893617,47,2,0.0425531914893617,125,0,0,0,0
Nilotpal Nandi,111,18,0.16216216216216217,112,16,0.14285714285714285,117,1,0.008547008547008548,1,0
Siddharth Wagle,13,0,0,17,0,0,111,4,0.036036036036036036,4,0
