Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Ashutosh Chauhan,234,1,0.004273504273504274,234,1,0.004273504273504274,3336,0,0,0,0
Sergey Shelukhin,758,23,0.030343007915567283,784,24,0.030612244897959183,1999,26,0.013006503251625813,22,4
Thejas Nair,286,14,0.04895104895104895,310,14,0.04516129032258064,1895,24,0.012664907651715039,19,5
Peter Vary,89,2,0.02247191011235955,91,2,0.02197802197802198,1650,2,0.0012121212121212121,1,1
Jesus Camacho Rodriguez,307,7,0.02280130293159609,323,7,0.021671826625386997,1394,16,0.011477761836441894,14,2
Carl Steinbach,174,9,0.05172413793103448,192,9,0.046875,1332,18,0.013513513513513514,11,7
Owen O'Malley,87,5,0.05747126436781609,92,5,0.05434782608695652,1110,5,0.0045045045045045045,4,1
Prasanth Jayachandran,414,12,0.028985507246376812,430,12,0.027906976744186046,1000,16,0.016,12,4
Lefty Leverenz,23,1,0.043478260869565216,24,1,0.041666666666666664,939,1,0.0010649627263045794,1,0
Gopal Vijayaraghavan,374,16,0.0427807486631016,386,16,0.04145077720207254,924,12,0.012987012987012988,7,5
Namit Jain,318,11,0.03459119496855346,329,13,0.03951367781155015,843,11,0.013048635824436536,11,0
Vineet Garg,74,1,0.013513513513513514,75,1,0.013333333333333334,815,1,0.001226993865030675,0,1
Gunther Hagleitner,250,3,0.012,276,5,0.018115942028985508,807,26,0.0322180916976456,19,7
Eugene Koifman,369,31,0.08401084010840108,411,32,0.07785888077858881,718,42,0.0584958217270195,37,5
Brock Noland,140,0,0,144,2,0.013888888888888888,664,4,0.006024096385542169,4,0
Sushanth Sowmyan,99,9,0.09090909090909091,108,10,0.09259259259259259,647,9,0.013910355486862442,3,6
Navis Ryu,123,4,0.032520325203252036,128,4,0.03125,631,5,0.00792393026941363,5,0
Xuefu Zhang,100,1,0.01,105,1,0.009523809523809525,627,5,0.007974481658692184,3,2
Zoltan Haindrich,244,0,0,245,0,0,619,1,0.0016155088852988692,1,0
Jason Dere,235,1,0.00425531914893617,237,1,0.004219409282700422,600,2,0.0033333333333333335,2,0
Alan Gates,132,6,0.045454545454545456,141,6,0.0425531914893617,440,9,0.020454545454545454,7,2
Matt McCline,261,8,0.03065134099616858,267,8,0.0299625468164794,437,6,0.013729977116704805,4,2
Vikram Dixit K,138,11,0.07971014492753623,162,13,0.08024691358024691,412,24,0.05825242718446602,22,2
Zheng Shao,128,7,0.0546875,138,5,0.036231884057971016,388,10,0.02577319587628866,8,2
Vaibhav Gumashta,169,14,0.08284023668639054,190,14,0.07368421052631578,377,21,0.05570291777188329,16,5
