Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
sivabalan narayanan,129,29,0.2248062015503876,172,36,0.20930232558139536,427,43,0.10070257611241218,21,22
Raymond Xu,42,11,0.2619047619047619,139,29,0.20863309352517986,344,97,0.2819767441860465,71,26
Vinoth Chandar,54,6,0.1111111111111111,89,15,0.16853932584269662,300,35,0.11666666666666667,20,15
Danny Chen,83,4,0.04819277108433735,83,3,0.03614457831325301,199,0,0,0,0
Ethan Guo,72,20,0.2777777777777778,103,20,0.1941747572815534,148,31,0.20945945945945946,25,6
Alexey Kudinkin,97,12,0.12371134020618557,108,10,0.09259259259259259,132,11,0.08333333333333333,9,2
leesf,12,0,0,12,0,0,103,0,0,0,0
Balaji Varadarajan,52,7,0.1346153846153846,54,6,0.1111111111111111,91,2,0.02197802197802198,2,0
Sagar Sumit,25,5,0.2,28,4,0.14285714285714285,78,3,0.038461538461538464,3,0
Nishith Agarwal,32,2,0.0625,37,2,0.05405405405405406,59,5,0.0847457627118644,4,1
lamber-ken,12,0,0,12,0,0,31,0,0,0,0
Forward Xu,12,3,0.25,12,2,0.16666666666666666,26,0,0,0,0
tao meng,25,1,0.04,25,1,0.04,26,0,0,0,0
Yann Byron,10,5,0.5,11,4,0.36363636363636365,24,1,0.041666666666666664,1,0
Prashant Wason,18,5,0.2777777777777778,21,4,0.19047619047619047,24,3,0.125,3,0
Wenning Ding,21,1,0.047619047619047616,21,1,0.047619047619047616,24,0,0,0,0
pengzhiwei,20,1,0.05,21,1,0.047619047619047616,22,1,0.045454545454545456,1,0
