Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Owen O'Malley,285,17,0.05964912280701754,315,16,0.050793650793650794,2088,30,0.014367816091954023,27,3
Nigel Daley,113,20,0.17699115044247787,166,24,0.14457831325301204,1518,53,0.03491436100131752,45,8
Andrew Wang,84,8,0.09523809523809523,111,9,0.08108108108108109,1516,27,0.017810026385224276,20,7
Arun Murthy,97,13,0.13402061855670103,238,21,0.08823529411764706,1374,141,0.10262008733624454,80,61
Doug Cutting,28,4,0.14285714285714285,36,3,0.08333333333333333,1196,8,0.006688963210702341,5,3
Arun Murthy,101,14,0.13861386138613863,122,14,0.11475409836065574,1172,21,0.017918088737201365,13,8
Steve Loughran,228,19,0.08333333333333333,321,25,0.0778816199376947,1166,93,0.0797598627787307,14,79
Andrew Wang,38,1,0.02631578947368421,55,3,0.05454545454545454,1100,17,0.015454545454545455,4,13
Arun Murthy,6,0,0,12,2,0.16666666666666666,1068,6,0.0056179775280898875,4,2
Allen Wittenauer,116,14,0.1206896551724138,137,17,0.12408759124087591,1001,21,0.02097902097902098,11,10
Allen Wittenauer,56,4,0.07142857142857142,67,4,0.05970149253731343,929,11,0.011840688912809472,7,4
Vinod Kumar Vavilapalli,48,9,0.1875,104,10,0.09615384615384616,909,56,0.061606160616061605,34,22
Vinod Kumar Vavilapalli,197,28,0.14213197969543148,242,30,0.12396694214876033,879,45,0.051194539249146756,32,13
Allen Wittenauer,39,2,0.05128205128205128,40,1,0.025,874,1,0.0011441647597254005,0,1
Tsz-wo Sze,125,15,0.12,178,14,0.07865168539325842,785,53,0.06751592356687898,13,40
Wei-Chiu Chuang,144,11,0.0763888888888889,158,9,0.056962025316455694,699,14,0.020028612303290415,9,5
Tsz-wo Sze,169,31,0.1834319526627219,201,31,0.15422885572139303,669,32,0.04783258594917788,16,16
Jason Darrell Lowe,168,14,0.08333333333333333,188,13,0.06914893617021277,643,20,0.03110419906687403,15,5
Vinod Kumar Vavilapalli,53,9,0.16981132075471697,65,12,0.18461538461538463,618,12,0.019417475728155338,11,1
Kihwal Lee,177,15,0.0847457627118644,205,16,0.07804878048780488,615,28,0.04552845528455285,21,7
Thomas White,56,6,0.10714285714285714,59,6,0.1016949152542373,606,3,0.0049504950495049506,3,0
Akira Ajisaka,169,12,0.07100591715976332,216,14,0.06481481481481481,604,47,0.07781456953642384,29,18
Todd Lipcon,207,15,0.07246376811594203,225,17,0.07555555555555556,604,18,0.029801324503311258,15,3
Sunil G,86,10,0.11627906976744186,99,9,0.09090909090909091,590,13,0.022033898305084745,10,3
Arun Murthy,6,0,0,19,0,0,546,13,0.023809523809523808,8,5
Suresh Srinivas,60,5,0.08333333333333333,90,7,0.07777777777777778,540,30,0.05555555555555555,20,10
Wangda Tan,73,11,0.1506849315068493,126,12,0.09523809523809523,522,53,0.10153256704980843,38,15
Eli Collins,141,16,0.11347517730496454,160,16,0.1,508,19,0.03740157480314961,9,10
Devaraj Das,83,5,0.060240963855421686,103,7,0.06796116504854369,506,20,0.039525691699604744,16,4
Akira Ajisaka,88,4,0.045454545454545456,118,5,0.0423728813559322,504,30,0.05952380952380952,18,12
Arpit Agarwal,100,7,0.07,116,10,0.08620689655172414,492,16,0.032520325203252036,10,6
Konstantin Shvachko,133,9,0.06766917293233082,149,8,0.053691275167785234,487,16,0.03285420944558522,13,3
Jason Darrell Lowe,157,16,0.10191082802547771,170,17,0.1,480,13,0.027083333333333334,11,2
Chris Nauroth,119,6,0.05042016806722689,128,7,0.0546875,465,9,0.01935483870967742,3,6
Brahma Reddy Battula,119,21,0.17647058823529413,143,21,0.14685314685314685,464,24,0.05172413793103448,21,3
Thomas White,42,1,0.023809523809523808,49,3,0.061224489795918366,462,7,0.015151515151515152,3,4
Christopher Douglas,66,4,0.06060606060606061,79,4,0.05063291139240506,461,13,0.028199566160520606,7,6
Rohith Sharma K S,131,17,0.1297709923664122,146,17,0.11643835616438356,460,15,0.03260869565217391,7,8
Konstantin Shvachko,126,17,0.1349206349206349,137,17,0.12408759124087591,459,11,0.023965141612200435,11,0
Colin McCabe,124,4,0.03225806451612903,134,3,0.022388059701492536,454,10,0.022026431718061675,7,3
