Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Vladimir Ozerov,193,27,0.13989637305699482,282,29,0.10283687943262411,1376,89,0.06468023255813954,22,67
Alexey Goncharuk,164,12,0.07317073170731707,187,12,0.06417112299465241,793,23,0.029003783102143757,18,5
Dmitry Pavlov,66,7,0.10606060606060606,83,6,0.07228915662650602,723,17,0.02351313969571231,15,2
Pavel Tupitsyn,270,35,0.12962962962962962,308,33,0.10714285714285714,641,38,0.059282371294851796,17,21
Alexey Kuznetsov,134,15,0.11194029850746269,149,15,0.10067114093959731,639,15,0.023474178403755867,1,14
"Anton Vinogradov (Obsolete, actual is ""av"")",30,6,0.2,39,6,0.15384615384615385,610,9,0.014754098360655738,4,5
Maxim Muzafarov,53,2,0.03773584905660377,90,5,0.05555555555555555,588,37,0.06292517006802721,34,3
Yakov Zhdanov,49,5,0.10204081632653061,61,6,0.09836065573770492,558,12,0.021505376344086023,10,2
Andrey N. Gura,91,5,0.054945054945054944,102,4,0.0392156862745098,466,11,0.023605150214592276,6,5
Semen Boikov,117,10,0.08547008547008547,148,12,0.08108108108108109,466,31,0.06652360515021459,5,26
Denis A. Magda,195,25,0.1282051282051282,231,32,0.13852813852813853,438,36,0.0821917808219178,22,14
Aleksey Plekhanov,94,11,0.11702127659574468,99,11,0.1111111111111111,426,5,0.011737089201877934,2,3
Pavel Konstantinov,237,11,0.046413502109704644,240,10,0.041666666666666664,422,3,0.0071090047393364926,2,1
Andrey Mashenkov,184,27,0.14673913043478262,214,26,0.12149532710280374,403,30,0.07444168734491315,16,14
Ilya Kasnacheev,155,9,0.05806451612903226,166,9,0.05421686746987952,395,11,0.027848101265822784,6,5
Vyacheslav Koptilin,99,9,0.09090909090909091,115,10,0.08695652173913043,379,16,0.04221635883905013,13,3
Valentin Kulichenko,231,29,0.12554112554112554,280,33,0.11785714285714285,367,49,0.1335149863760218,27,22
Nikolay Izhikov,66,2,0.030303030303030304,75,3,0.04,339,9,0.02654867256637168,7,2
Vasiliy Sisko,165,2,0.012121212121212121,165,2,0.012121212121212121,270,0,0,0,0
Sergey Kozlov,213,12,0.056338028169014086,219,13,0.0593607305936073,270,6,0.022222222222222223,2,4
Evgeny Stanilovsky,100,8,0.08,102,6,0.058823529411764705,255,2,0.00784313725490196,0,2
Amelchev Nikita,55,2,0.03636363636363636,60,2,0.03333333333333333,250,5,0.02,2,3
Taras Ledkov,88,7,0.07954545454545454,92,7,0.07608695652173914,249,4,0.01606425702811245,2,2
Igor Sapego,91,3,0.03296703296703297,96,2,0.020833333333333332,241,5,0.02074688796680498,1,4
Dmitriy Setrakyan,52,3,0.057692307692307696,67,6,0.08955223880597014,239,15,0.06276150627615062,15,0
Sergey Chugunov,79,4,0.05063291139240506,85,5,0.058823529411764705,228,6,0.02631578947368421,5,1
Dmitriy Govorukhin,54,3,0.05555555555555555,58,4,0.06896551724137931,208,4,0.019230769230769232,3,1
Alexey Scherbakov,121,9,0.0743801652892562,125,9,0.072,191,4,0.020942408376963352,1,3
Ivan Bessonov,71,6,0.08450704225352113,72,5,0.06944444444444445,182,1,0.005494505494505495,1,0
Ivan Rakov,42,0,0,42,0,0,180,0,0,0,0
Vladislav Pyatkov,97,3,0.030927835051546393,98,3,0.030612244897959183,177,1,0.005649717514124294,1,0
Ivan Pavlukhin,53,0,0,57,1,0.017543859649122806,164,4,0.024390243902439025,2,2
Andrey Novikov,36,1,0.027777777777777776,38,1,0.02631578947368421,161,2,0.012422360248447204,0,2
Pavel Kovalenko,70,4,0.05714285714285714,73,4,0.0547945205479452,154,3,0.01948051948051948,2,1
Igor Seliverstov,36,4,0.1111111111111111,37,5,0.13513513513513514,144,1,0.006944444444444444,0,1
Yury Gerzhedovich,16,1,0.0625,38,3,0.07894736842105263,141,22,0.15602836879432624,15,7
Eduard Shangareev,71,3,0.04225352112676056,73,2,0.0273972602739726,139,2,0.014388489208633094,2,0
Ivan Daschinsky,49,6,0.12244897959183673,58,5,0.08620689655172414,137,9,0.06569343065693431,3,6
Artem Shutak,85,5,0.058823529411764705,86,4,0.046511627906976744,133,1,0.007518796992481203,0,1
Konstantin Orlov,50,6,0.12,56,6,0.10714285714285714,130,6,0.046153846153846156,4,2
Roman Kondakov,66,4,0.06060606060606061,68,4,0.058823529411764705,128,2,0.015625,2,0
