Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Chris Lambertus,3165,979,0.3093206951026856,3165,768,0.24265402843601896,3165,0,0,0,0
Tim Armstrong,313,37,0.1182108626198083,581,69,0.11876075731497418,2001,268,0.13393303348325838,139,129
Alexander Behm,38,5,0.13157894736842105,247,61,0.24696356275303644,1108,209,0.18862815884476533,168,41
Daniel Hecht,9,0,0,485,73,0.15051546391752577,1045,476,0.45550239234449763,91,385
Silvius Rus,1,0,0,100,38,0.38,912,99,0.10855263157894737,71,28
Henry Robinson,16,2,0.125,69,18,0.2608695652173913,892,53,0.05941704035874439,25,28
Matthew Jacobs,41,9,0.21951219512195122,99,19,0.1919191919191919,509,58,0.11394891944990176,30,28
Marcel Kinard,0,0,NaN,27,1,0.037037037037037035,504,27,0.05357142857142857,23,4
Jim Apple,34,6,0.17647058823529413,61,14,0.22950819672131148,487,27,0.055441478439425054,14,13
Quanlong Huang,153,21,0.13725490196078433,179,21,0.11731843575418995,460,26,0.05652173913043478,25,1
Joe McDonnell,233,22,0.0944206008583691,260,23,0.08846153846153847,439,27,0.06150341685649203,17,10
Lars Volker,124,8,0.06451612903225806,144,9,0.0625,429,20,0.046620046620046623,14,6
Nong Li,0,0,NaN,43,6,0.13953488372093023,427,43,0.10070257611241218,24,19
Lenni Kuff,0,0,NaN,75,14,0.18666666666666668,425,75,0.17647058823529413,69,6
Dimitris Tsirogiannis,21,4,0.19047619047619047,64,16,0.25,417,43,0.10311750599520383,15,28
Michael Ho,73,12,0.1643835616438356,110,23,0.20909090909090908,340,37,0.10882352941176471,17,20
Bharath Vissapragada,39,10,0.2564102564102564,46,11,0.2391304347826087,305,7,0.022950819672131147,6,1
Thomas Tauber-Marshall,90,12,0.13333333333333333,102,10,0.09803921568627451,283,12,0.04240282685512368,7,5
Taras Bobrovytsky,49,16,0.32653061224489793,67,18,0.26865671641791045,279,18,0.06451612903225806,18,0
Michael Brown,64,7,0.109375,92,14,0.15217391304347827,260,28,0.1076923076923077,22,6
Zoltán Borók-Nagy,131,6,0.04580152671755725,131,6,0.04580152671755725,258,0,0,0,0
Sailesh Mukil,27,4,0.14814814814814814,37,5,0.13513513513513514,242,10,0.04132231404958678,5,5
casey,0,0,NaN,21,8,0.38095238095238093,238,21,0.08823529411764706,18,3
Mostafa Mokhtar,76,16,0.21052631578947367,94,20,0.2127659574468085,235,18,0.07659574468085106,14,4
Ippokratis Pandis,0,0,NaN,26,8,0.3076923076923077,179,26,0.1452513966480447,22,4
David Knupp,66,13,0.19696969696969696,79,14,0.17721518987341772,156,13,0.08333333333333333,6,7
