Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Guozhang Wang,192,16,0.08333333333333333,231,19,0.08225108225108226,1263,39,0.030878859857482184,36,3
Ismael Juma,86,6,0.06976744186046512,202,18,0.0891089108910891,1200,116,0.09666666666666666,102,14
Jun Rao,250,25,0.1,290,27,0.09310344827586207,1096,40,0.0364963503649635,36,4
Matthias J. Sax,225,18,0.08,283,24,0.08480565371024736,929,58,0.062432723358449946,36,22
Jason Gustafson,274,15,0.05474452554744526,298,15,0.050335570469798654,814,24,0.029484029484029485,20,4
Neha Narkhede,122,5,0.040983606557377046,159,12,0.07547169811320754,728,37,0.050824175824175824,31,6
Manikumar,19,3,0.15789473684210525,24,3,0.125,691,5,0.00723589001447178,2,3
Ewen Cheslack-Postava,120,11,0.09166666666666666,148,11,0.07432432432432433,568,28,0.04929577464788732,17,11
Gwen Shapira,84,5,0.05952380952380952,101,5,0.04950495049504951,412,17,0.0412621359223301,7,10
Rajini Sivaram,117,7,0.05982905982905983,126,7,0.05555555555555555,409,9,0.022004889975550123,8,1
Jay Kreps,57,9,0.15789473684210525,61,8,0.13114754098360656,363,4,0.011019283746556474,3,1
Randall Hauch,41,4,0.0975609756097561,58,4,0.06896551724137931,282,17,0.06028368794326241,14,3
Joel Jacob Koshy,80,8,0.1,97,8,0.08247422680412371,274,17,0.06204379562043796,17,0
Colin McCabe,93,1,0.010752688172043012,104,3,0.028846153846153848,270,11,0.040740740740740744,7,4
A. Sophie Blee-Goldman,101,11,0.10891089108910891,118,11,0.09322033898305085,267,17,0.06367041198501873,15,2
huxihx,24,2,0.08333333333333333,25,2,0.08,232,1,0.004310344827586207,0,1
John Roesler,44,11,0.25,80,17,0.2125,203,36,0.17733990147783252,23,13
Joe Stein,53,5,0.09433962264150944,59,5,0.0847457627118644,193,6,0.031088082901554404,5,1
Bill Bejeck,28,2,0.07142857142857142,35,2,0.05714285714285714,192,7,0.036458333333333336,4,3
Damian Guy,50,2,0.04,51,2,0.0392156862745098,187,1,0.0053475935828877,0,1
Dong Lin,57,6,0.10526315789473684,66,8,0.12121212121212122,162,9,0.05555555555555555,7,2
Bruno Cadonna,17,5,0.29411764705882354,23,5,0.21739130434782608,159,6,0.03773584905660377,4,2
Jiangjie Qin,65,11,0.16923076923076924,71,10,0.14084507042253522,154,6,0.03896103896103896,5,1
Vahid Hashemian,22,0,0,22,0,0,154,0,0,0,0
Luke Chen,27,6,0.2222222222222222,30,4,0.13333333333333333,144,3,0.020833333333333332,3,0
Boyang Chen,67,7,0.1044776119402985,71,6,0.08450704225352113,137,4,0.029197080291970802,4,0
Konstantine Karantasis,31,6,0.1935483870967742,40,7,0.175,137,9,0.06569343065693431,7,2
David Arthur,31,2,0.06451612903225806,34,2,0.058823529411764705,126,3,0.023809523809523808,2,1
Grant Henke,29,4,0.13793103448275862,31,4,0.12903225806451613,124,2,0.016129032258064516,1,1
Chia-Ping Tsai,44,4,0.09090909090909091,46,4,0.08695652173913043,110,2,0.01818181818181818,1,1
Mickael Maison,17,0,0,17,0,0,104,0,0,0,0
Chris Egerton,55,4,0.07272727272727272,59,4,0.06779661016949153,103,4,0.038834951456310676,3,1
David Jacot,27,5,0.18518518518518517,35,5,0.14285714285714285,102,8,0.0784313725490196,6,2
Harsha,14,1,0.07142857142857142,15,2,0.13333333333333333,99,1,0.010101010101010102,1,0
Swapnil Ghike,51,8,0.1568627450980392,53,7,0.1320754716981132,97,2,0.020618556701030927,2,0
