Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Michael McCandless,427,10,0.0234192037470726,447,11,0.024608501118568233,1554,20,0.01287001287001287,18,2
Robert Muir,610,20,0.03278688524590164,623,21,0.033707865168539325,1370,13,0.00948905109489051,6,7
Uwe Schindler,141,3,0.02127659574468085,172,6,0.03488372093023256,1284,31,0.024143302180685357,19,12
Chris M. Hostetter,75,5,0.06666666666666667,79,3,0.0379746835443038,1175,4,0.003404255319148936,0,4
Adrien Grand,162,4,0.024691358024691357,169,4,0.023668639053254437,803,7,0.008717310087173101,2,5
Steven Rowe,129,6,0.046511627906976744,133,6,0.045112781954887216,693,4,0.005772005772005772,1,3
Simon Willnauer,106,2,0.018867924528301886,112,2,0.017857142857142856,341,6,0.017595307917888565,2,4
Mark Miller,49,1,0.02040816326530612,55,0,0,308,6,0.01948051948051948,0,6
Shai Erera,62,6,0.0967741935483871,67,6,0.08955223880597014,294,5,0.017006802721088437,2,3
Dawid Weiss,100,1,0.01,107,1,0.009345794392523364,290,7,0.02413793103448276,0,7
David Smiley,50,2,0.04,53,2,0.03773584905660377,283,3,0.01060070671378092,1,2
Yonik Seeley,43,1,0.023255813953488372,44,1,0.022727272727272728,234,1,0.004273504273504274,1,0
Grant Ingersoll,41,1,0.024390243902439025,45,1,0.022222222222222223,206,4,0.019417475728155338,1,3
Alan Woodward,39,1,0.02564102564102564,41,1,0.024390243902439025,158,2,0.012658227848101266,0,2
Michael Busch,18,0,0,62,0,0,156,44,0.28205128205128205,0,44
Jim Ferenczi,29,3,0.10344827586206896,30,3,0.1,145,1,0.006896551724137931,0,1
Daniel Naber,28,1,0.03571428571428571,30,1,0.03333333333333333,125,2,0.016,0,2
Ignacio Vera,81,4,0.04938271604938271,83,4,0.04819277108433735,119,2,0.01680672268907563,1,1
Karl Wright,36,0,0,37,0,0,94,1,0.010638297872340425,1,0
Doron Cohen,35,2,0.05714285714285714,39,2,0.05128205128205128,92,4,0.043478260869565216,0,4
Ryan Ernst,23,0,0,23,0,0,74,0,0,0,0
Paul Elschot,23,1,0.043478260869565216,24,1,0.041666666666666664,72,1,0.013888888888888888,0,1
Nick Knize,17,1,0.058823529411764705,24,2,0.08333333333333333,44,7,0.1590909090909091,6,1
Mike Drob,18,0,0,18,0,0,41,0,0,0,0
