Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Vinod Kone,343,10,0.029154518950437316,389,15,0.038560411311053984,1853,46,0.0248246087425796,40,6
Benjamin Mahler,277,16,0.05776173285198556,327,27,0.08256880733944955,993,50,0.050352467270896276,38,12
Jie Yu,189,17,0.08994708994708994,226,20,0.08849557522123894,679,37,0.054491899852724596,24,13
Alex R,122,17,0.13934426229508196,164,20,0.12195121951219512,517,42,0.08123791102514506,24,18
Benjamin Bannier,202,17,0.08415841584158416,205,14,0.06829268292682927,432,3,0.006944444444444444,2,1
Joseph Wu,65,8,0.12307692307692308,78,9,0.11538461538461539,410,13,0.03170731707317073,6,7
Adam B,15,3,0.2,45,10,0.2222222222222222,388,30,0.07731958762886598,21,9
Greg Mann,129,9,0.06976744186046512,143,9,0.06293706293706294,380,14,0.03684210526315789,11,3
haosdent,62,2,0.03225806451612903,65,2,0.03076923076923077,367,3,0.008174386920980926,0,3
Till Toenshoff,118,12,0.1016949152542373,133,12,0.09022556390977443,362,15,0.04143646408839779,5,10
Gilbert Song,91,22,0.24175824175824176,149,30,0.20134228187919462,327,58,0.17737003058103976,30,28
Benjamin Hindman,53,1,0.018867924528301886,54,1,0.018518518518518517,319,1,0.003134796238244514,1,0
Neil Conway,142,9,0.06338028169014084,157,8,0.050955414012738856,318,15,0.04716981132075472,5,10
Artem Harutyunyan,32,1,0.03125,35,1,0.02857142857142857,285,3,0.010526315789473684,3,0
Yan Xu,158,10,0.06329113924050633,163,9,0.05521472392638037,276,5,0.018115942028985508,3,2
Anand Mazumdar,66,7,0.10606060606060606,94,11,0.11702127659574468,275,28,0.10181818181818182,26,2
Marco Massenzio,16,1,0.0625,26,1,0.038461538461538464,239,10,0.04184100418410042,3,7
James Peach,127,10,0.07874015748031496,129,8,0.06201550387596899,221,2,0.00904977375565611,0,2
Bernd Mathiske,22,1,0.045454545454545456,27,1,0.037037037037037035,220,5,0.022727272727272728,2,3
Chun-Hung Hsiao,87,15,0.1724137931034483,110,17,0.15454545454545454,215,23,0.10697674418604651,16,7
Michael Park,49,3,0.061224489795918366,56,2,0.03571428571428571,200,7,0.035,6,1
Dominic Hamon,24,1,0.041666666666666664,24,1,0.041666666666666664,186,0,0,0,0
Joris Van Remoortere,35,4,0.11428571428571428,42,4,0.09523809523809523,169,7,0.04142011834319527,7,0
Andrew Schwartzmeyer,71,5,0.07042253521126761,81,6,0.07407407407407407,162,10,0.06172839506172839,6,4
Guangya Liu,92,4,0.043478260869565216,93,4,0.043010752688172046,162,1,0.006172839506172839,0,1
Ian Downes,41,2,0.04878048780487805,42,2,0.047619047619047616,156,1,0.00641025641025641,1,0
Niklas Quarfot Nielsen,31,0,0,32,0,0,151,1,0.006622516556291391,1,0
Timothy Chen,20,0,0,20,0,0,150,0,0,0,0
Benno Evers,73,1,0.0136986301369863,76,1,0.013157894736842105,138,3,0.021739130434782608,1,2
Klaus Ma,38,1,0.02631578947368421,39,1,0.02564102564102564,126,1,0.007936507936507936,0,1
Qian Zhang,42,6,0.14285714285714285,45,4,0.08888888888888889,123,3,0.024390243902439025,2,1
Jan Schlicht,57,7,0.12280701754385964,59,6,0.1016949152542373,110,2,0.01818181818181818,1,1
Alex Clemmer,98,12,0.12244897959183673,110,11,0.1,109,12,0.11009174311926606,6,6
Meng Zhu,59,6,0.1016949152542373,63,6,0.09523809523809523,108,4,0.037037037037037035,1,3
Andrei Budnik,32,4,0.125,34,4,0.11764705882352941,104,2,0.019230769230769232,2,0
Kapil Arya,45,7,0.15555555555555556,49,6,0.12244897959183673,104,4,0.038461538461538464,4,0
Kevin Klues,32,1,0.03125,37,4,0.10810810810810811,103,5,0.04854368932038835,3,2
Andrei Sekretenko,39,5,0.1282051282051282,43,5,0.11627906976744186,102,4,0.0392156862745098,2,2
