Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Laszlo Kishalmi,57,1,0.017543859649122806,117,6,0.05128205128205128,1204,60,0.04983388704318937,9,51
Tomáš Procházka,40,0,0,40,0,0,703,0,0,0,0
Geertjan Wielenga,59,1,0.01694915254237288,67,1,0.014925373134328358,622,8,0.012861736334405145,3,5
Matthias Bläsing,31,1,0.03225806451612903,36,1,0.027777777777777776,347,5,0.01440922190201729,0,5
Junichi Yamamoto,32,0,0,45,3,0.06666666666666667,219,13,0.0593607305936073,6,7
Neil C Smith,13,1,0.07692307692307693,54,4,0.07407407407407407,189,41,0.21693121693121692,7,34
Christian Lenz,56,4,0.07142857142857142,70,7,0.1,171,14,0.08187134502923976,11,3
Svatopluk Dedic,97,2,0.020618556701030927,103,2,0.019417475728155338,166,6,0.03614457831325301,1,5
Jan Lahoda,20,0,0,21,0,0,139,1,0.007194244604316547,1,0
Jaroslav Tulach,54,2,0.037037037037037035,57,2,0.03508771929824561,118,3,0.025423728813559324,1,2
Eirik Bakke,49,3,0.061224489795918366,57,5,0.08771929824561403,114,8,0.07017543859649122,6,2
Jiří Kovalský,14,2,0.14285714285714285,22,4,0.18181818181818182,85,8,0.09411764705882353,6,2
Emilian Bold,53,0,0,53,0,0,77,0,0,0,0
Ernie Rael,50,6,0.12,60,6,0.1,76,10,0.13157894736842105,4,6
Eric Barboni,10,0,0,11,0,0,66,1,0.015151515151515152,0,1
ARUNAVA SINHA,27,0,0,27,0,0,63,0,0,0,0
Austin Stephens,58,10,0.1724137931034483,68,10,0.14705882352941177,61,10,0.16393442622950818,8,2
Reema Taneja,18,1,0.05555555555555555,19,1,0.05263157894736842,61,1,0.01639344262295082,0,1
John McDonnell,9,2,0.2222222222222222,11,2,0.18181818181818182,60,2,0.03333333333333333,0,2
Alessandro Falappa,18,0,0,19,0,0,47,1,0.02127659574468085,0,1
Netbeans User 2019,29,3,0.10344827586206896,32,3,0.09375,46,3,0.06521739130434782,2,1
Czukowski,34,1,0.029411764705882353,34,1,0.029411764705882353,43,0,0,0,0
Manikantan Narender Nath,34,2,0.058823529411764705,35,2,0.05714285714285714,41,1,0.024390243902439025,0,1
