Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Joe Witt,181,6,0.03314917127071823,240,11,0.04583333333333333,1327,59,0.044461190655614165,38,21
Mark Payne,676,18,0.026627218934911243,707,20,0.028288543140028287,1267,31,0.0244672454617206,24,7
Matt Gilman,275,4,0.014545454545454545,282,3,0.010638297872340425,722,7,0.009695290858725761,1,6
Pierre Villard,71,0,0,79,0,0,644,8,0.012422360248447204,2,6
Matt Burgess,105,1,0.009523809523809525,113,2,0.017699115044247787,542,8,0.014760147601476014,1,7
Bryan Bende,123,5,0.04065040650406504,124,5,0.04032258064516129,468,1,0.002136752136752137,1,0
David Handermann,58,1,0.017241379310344827,67,1,0.014925373134328358,274,9,0.032846715328467155,1,8
Koji Kawamura,109,6,0.05504587155963303,119,7,0.058823529411764705,258,10,0.03875968992248062,2,8
Joe Percivall,96,3,0.03125,99,3,0.030303030303030304,245,3,0.012244897959183673,3,0
Aldrin Piri,84,2,0.023809523809523808,86,2,0.023255813953488372,243,2,0.00823045267489712,1,1
Andy LoPresto,75,3,0.04,83,3,0.03614457831325301,221,8,0.03619909502262444,2,6
Oleg Zhurakousky,39,5,0.1282051282051282,43,5,0.11627906976744186,169,4,0.023668639053254437,1,3
Scott Aslan,44,0,0,44,0,0,136,0,0,0,0
Michael W Moser,34,1,0.029411764705882353,35,1,0.02857142857142857,122,1,0.00819672131147541,1,0
Mike Thomsen,23,0,0,23,0,0,115,0,0,0,0
Andre F de Miranda,48,3,0.0625,49,3,0.061224489795918366,110,1,0.00909090909090909,0,1
Peter Turcsanyi,42,1,0.023809523809523808,42,1,0.023809523809523808,98,0,0,0,0
Andrew M. Lim,74,3,0.04054054054054054,75,3,0.04,93,1,0.010752688172043012,0,1
Jeff Storck,55,0,0,55,0,0,88,0,0,0,0
Tony Kurc,16,2,0.125,18,2,0.1111111111111111,81,2,0.024691358024691357,0,2
Joe Gresock,29,3,0.10344827586206896,30,3,0.1,79,1,0.012658227848101266,1,0
Brandon Rhys DeVries,52,6,0.11538461538461539,54,6,0.1111111111111111,71,2,0.028169014084507043,2,0
Matthew Clarke,59,2,0.03389830508474576,59,1,0.01694915254237288,66,0,0,0,0
Joey Frazee,27,2,0.07407407407407407,30,2,0.06666666666666667,56,3,0.05357142857142857,2,1
Peter Wicks,31,1,0.03225806451612903,31,1,0.03225806451612903,51,0,0,0,0
Joe Skora,17,1,0.058823529411764705,17,0,0,44,0,0,0,0
James Wing,14,0,0,15,0,0,43,1,0.023255813953488372,0,1
Mark Bean,27,1,0.037037037037037035,27,1,0.037037037037037035,40,0,0,0,0
Yolanda M. Davis,15,0,0,15,0,0,40,0,0,0,0
Chris Sampson,23,1,0.043478260869565216,24,1,0.041666666666666664,38,1,0.02631578947368421,0,1
Rob Fellows,12,0,0,12,0,0,34,0,0,0,0
Tamas Palfy,21,1,0.047619047619047616,21,1,0.047619047619047616,34,0,0,0,0
Jens M Kofoed,17,0,0,17,0,0,31,0,0,0,0
Bryan Rosander,19,2,0.10526315789473684,20,2,0.1,29,1,0.034482758620689655,0,1
Denes Arvay,17,0,0,17,0,0,26,0,0,0,0
Shawn Weeks,11,1,0.09090909090909091,11,1,0.09090909090909091,25,0,0,0,0
Dan Bress,10,2,0.2,10,2,0.2,24,0,0,0,0
Randy Gelhausen,18,1,0.05555555555555555,18,1,0.05555555555555555,19,0,0,0,0
Paul Grey,10,1,0.1,10,1,0.1,19,0,0,0,0
Gardella Juan Pablo,11,0,0,11,0,0,18,0,0,0,0
