Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Davide Giannella,65,6,0.09230769230769231,82,9,0.10975609756097561,1335,17,0.012734082397003745,16,1
Marcel Reutegger,401,9,0.022443890274314215,416,8,0.019230769230769232,1296,15,0.011574074074074073,4,11
Michael Dürig,293,20,0.06825938566552901,317,19,0.05993690851735016,994,24,0.02414486921529175,13,11
Alex Deparvu,189,10,0.05291005291005291,193,10,0.05181347150259067,993,4,0.004028197381671702,2,2
Hudson,775,2,0.0025806451612903226,775,1,0.0012903225806451613,775,0,0,0,0
Julian Reschke,158,12,0.0759493670886076,168,12,0.07142857142857142,719,10,0.013908205841446454,3,7
Amit Jain,100,5,0.05,104,5,0.04807692307692308,602,4,0.006644518272425249,1,3
Angela Schreiber,264,14,0.05303030303030303,294,13,0.04421768707482993,545,30,0.05504587155963303,11,19
Thomas Mueller,177,8,0.04519774011299435,186,8,0.043010752688172046,496,9,0.018145161290322582,6,3
Chetan Mehrotra,169,12,0.07100591715976332,180,11,0.06111111111111111,465,11,0.023655913978494623,3,8
Jukka Zitting,50,1,0.02,51,1,0.0196078431372549,363,1,0.0027548209366391185,1,0
Francesco Mari,116,9,0.07758620689655173,122,9,0.07377049180327869,234,6,0.02564102564102564,3,3
