Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Jacques Le Roux,320,8,0.025,396,14,0.03535353535353535,2852,76,0.02664796633941094,19,57
Jacopo Cappellato,64,0,0,99,0,0,1059,35,0.033050047214353166,2,33
Pierre Smits,291,17,0.058419243986254296,304,17,0.05592105263157895,646,13,0.020123839009287926,12,1
Deepak Dixit,81,3,0.037037037037037035,87,3,0.034482758620689655,480,6,0.0125,1,5
Ashish Vijaywargiya,25,0,0,26,0,0,350,1,0.002857142857142857,0,1
Scott Gray,25,0,0,39,1,0.02564102564102564,333,14,0.042042042042042045,1,13
Adrian Crum,42,1,0.023809523809523808,47,1,0.02127659574468085,325,5,0.015384615384615385,1,4
Sharan Foga,15,2,0.13333333333333333,20,4,0.2,289,5,0.01730103806228374,1,4
Michael Brohl,33,2,0.06060606060606061,41,2,0.04878048780487805,212,8,0.03773584905660377,3,5
Arun Patidar,36,1,0.027777777777777776,36,1,0.027777777777777776,155,0,0,0,0
Nicolas Malin,62,2,0.03225806451612903,65,2,0.03076923076923077,152,3,0.019736842105263157,0,3
Erwan de Ferrieres,40,1,0.025,40,1,0.025,142,0,0,0,0
Pawan Verma,39,1,0.02564102564102564,39,1,0.02564102564102564,136,0,0,0,0
Si Chen,62,3,0.04838709677419355,62,3,0.04838709677419355,132,0,0,0,0
Pranay Pandey,11,0,0,14,0,0,128,3,0.0234375,0,3
Wai,121,5,0.04132231404958678,122,5,0.040983606557377046,127,1,0.007874015748031496,1,0
Suraj Khurana,27,1,0.037037037037037035,29,1,0.034482758620689655,126,2,0.015873015873015872,2,0
Christian Carlow,118,1,0.00847457627118644,119,1,0.008403361344537815,126,1,0.007936507936507936,1,0
Hans Bakker,25,2,0.08,28,2,0.07142857142857142,123,3,0.024390243902439025,1,2
BJ Freeman,62,9,0.14516129032258066,67,8,0.11940298507462686,118,5,0.0423728813559322,0,5
Bruno Busco,26,0,0,26,0,0,103,0,0,0,0
Divesh Dutta,19,0,0,20,0,0,102,1,0.00980392156862745,1,0
Paul Foxworthy,28,0,0,30,0,0,101,2,0.019801980198019802,0,2
Bilgin Ismet Ibryam,36,0,0,37,0,0,91,1,0.01098901098901099,0,1
Leon,76,0,0,76,0,0,88,0,0,0,0
Sascha Schumann,12,0,0,12,0,0,88,0,0,0,0
Aditya Sharma,40,0,0,40,0,0,88,0,0,0,0
Anil K Patel,9,0,0,10,0,0,86,1,0.011627906976744186,0,1
Akash Jain,12,1,0.08333333333333333,12,1,0.08333333333333333,84,0,0,0,0
Adam Heath,32,1,0.03125,32,1,0.03125,82,0,0,0,0
Blas Rodriguez Somoza,81,1,0.012345679012345678,82,1,0.012195121951219513,81,1,0.012345679012345678,0,1
Marco Risaliti,33,2,0.06060606060606061,33,2,0.06060606060606061,81,0,0,0,0
Amardeep Singh Jhajj,39,1,0.02564102564102564,40,1,0.025,68,1,0.014705882352941176,1,0
Swapnil Mane,15,0,0,15,0,0,55,0,0,0,0
Rishi Solanki,11,0,0,11,0,0,52,0,0,0,0
Kiran Gawde,50,3,0.06,53,3,0.05660377358490566,51,3,0.058823529411764705,1,2
Ravi Lodhi,35,2,0.05714285714285714,36,2,0.05555555555555555,47,1,0.02127659574468085,0,1
Gil Portenseigne,16,0,0,16,0,0,45,0,0,0,0
Ingo Wolfmayr,39,2,0.05128205128205128,39,2,0.05128205128205128,44,0,0,0,0
Taher Alkhateeb,7,0,0,11,1,0.09090909090909091,44,4,0.09090909090909091,0,4
Olivier Heintz,28,0,0,28,0,0,43,0,0,0,0
Sumit Pandit,28,1,0.03571428571428571,28,1,0.03571428571428571,42,0,0,0,0
Montalbano Florian,13,0,0,13,0,0,41,0,0,0,0
Priya Sharma,10,0,0,10,0,0,41,0,0,0,0
Ankush Upadhyay,11,0,0,11,0,0,41,0,0,0,0
Chris Howe,17,0,0,17,0,0,40,0,0,0,0
chris snow,39,0,0,39,0,0,39,0,0,0,0
James Yong,23,3,0.13043478260869565,23,3,0.13043478260869565,37,0,0,0,0
Wickersheimer Jeremy,30,2,0.06666666666666667,30,1,0.03333333333333333,36,0,0,0,0
Gareth Carter,23,3,0.13043478260869565,24,3,0.125,34,1,0.029411764705882353,0,1
Rashko Rejmer,27,0,0,27,0,0,33,0,0,0,0
Sam Hamilton,29,1,0.034482758620689655,30,1,0.03333333333333333,29,1,0.034482758620689655,0,1
Ankit Joshi,17,0,0,17,0,0,29,0,0,0,0
Swapnil Shah,15,0,0,15,0,0,28,0,0,0,0
Joseph Eckard,12,1,0.08333333333333333,13,1,0.07692307692307693,28,1,0.03571428571428571,1,0
Ankit Jain,14,0,0,14,0,0,27,0,0,0,0
Lalit Dashora,19,0,0,19,0,0,27,0,0,0,0
Ratnesh Upadhyay,18,2,0.1111111111111111,19,2,0.10526315789473684,27,1,0.037037037037037035,0,1
Tom Burns,21,2,0.09523809523809523,21,2,0.09523809523809523,27,0,0,0,0
Benjamin Jugl,19,0,0,19,0,0,26,0,0,0,0
Wei Zhang,25,0,0,25,0,0,26,0,0,0,0
Bob Morley,24,1,0.041666666666666664,24,1,0.041666666666666664,26,0,0,0,0
Mathieu Lirzin,10,0,0,10,0,0,25,0,0,0,0
