Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Justin Ross,31,2,0.06451612903225806,35,2,0.05714285714285714,2811,4,0.001422981145499822,0,4
Robbie Gemmell,250,9,0.036,266,9,0.03383458646616541,1108,16,0.01444043321299639,7,9
Keith Wall,483,33,0.06832298136645963,583,36,0.06174957118353345,1055,100,0.0947867298578199,11,89
Robert Godfrey,224,7,0.03125,228,7,0.03070175438596491,1034,4,0.0038684719535783366,1,3
Alex Rudyy,441,46,0.10430839002267574,453,44,0.09713024282560706,887,12,0.013528748590755355,6,6
Gordon Sim,499,8,0.01603206412825651,509,8,0.015717092337917484,845,10,0.011834319526627219,4,6
Martin Ritchie,372,28,0.07526881720430108,393,26,0.06615776081424936,531,21,0.03954802259887006,8,13
Aidan Skinner,144,6,0.041666666666666664,162,11,0.06790123456790123,407,18,0.044226044226044224,7,11
Alan Conway,206,4,0.019417475728155338,209,3,0.014354066985645933,329,3,0.00911854103343465,2,1
Marnie McCormack,41,2,0.04878048780487805,51,2,0.0392156862745098,283,10,0.0353356890459364,3,7
Rajith Muditha Attapattu,157,3,0.01910828025477707,159,3,0.018867924528301886,249,2,0.008032128514056224,0,2
Lorenz Quack,133,24,0.18045112781954886,136,23,0.16911764705882354,239,3,0.012552301255230125,2,1
Charles E. Rolke,172,1,0.005813953488372093,172,1,0.005813953488372093,236,0,0,0,0
Stephen D. Huston,133,1,0.007518796992481203,135,1,0.007407407407407408,206,2,0.009708737864077669,0,2
Andrew Stitcher,87,0,0,92,0,0,199,5,0.02512562814070352,1,4
