Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Chris M. Hostetter,469,24,0.0511727078891258,484,24,0.049586776859504134,2447,15,0.006129955046996322,14,1
Alexandre Rafalovitch,40,2,0.05,42,2,0.047619047619047616,2131,2,0.0009385265133740028,2,0
Jan Høydahl,118,7,0.059322033898305086,150,9,0.06,1119,32,0.028596961572832886,17,15
Mark Miller,376,37,0.09840425531914894,452,38,0.084070796460177,1115,76,0.06816143497757847,36,40
Uwe Schindler,56,4,0.07142857142857142,62,4,0.06451612903225806,1068,6,0.0056179775280898875,3,3
Shalin Shekhar Mangar,226,6,0.02654867256637168,238,5,0.02100840336134454,1045,12,0.011483253588516746,8,4
Erick Erickson,132,6,0.045454545454545456,146,8,0.0547945205479452,940,14,0.014893617021276596,7,7
Steven Rowe,159,4,0.025157232704402517,170,3,0.01764705882352941,833,11,0.013205282112845138,9,2
Yonik Seeley,196,8,0.04081632653061224,215,11,0.05116279069767442,771,19,0.02464332036316472,17,2
Cassandra Targett,18,1,0.05555555555555555,25,2,0.08,746,7,0.00938337801608579,2,5
David Smiley,85,4,0.047058823529411764,94,4,0.0425531914893617,697,9,0.01291248206599713,4,5
Noble Paul,150,7,0.04666666666666667,160,6,0.0375,554,10,0.018050541516245487,7,3
Adrien Grand,6,0,0,17,2,0.11764705882352941,440,11,0.025,3,8
Robert Muir,72,1,0.013888888888888888,77,2,0.025974025974025976,438,5,0.01141552511415525,2,3
Shawn Heisey,87,5,0.05747126436781609,88,5,0.056818181818181816,394,1,0.0025380710659898475,0,1
Grant Ingersoll,36,2,0.05555555555555555,43,2,0.046511627906976744,388,7,0.01804123711340206,0,7
Anshum Gupta,43,4,0.09302325581395349,52,6,0.11538461538461539,363,9,0.024793388429752067,5,4
Tomas Eduardo Fernandez Lobbe,86,3,0.03488372093023256,96,4,0.041666666666666664,311,10,0.03215434083601286,3,7
Varun Thacker,132,7,0.05303030303030303,134,7,0.05223880597014925,307,2,0.006514657980456026,1,1
Timothy Potter,69,9,0.13043478260869565,80,9,0.1125,302,11,0.03642384105960265,5,6
Ishan Chattopadhyaya,56,8,0.14285714285714285,67,10,0.14925373134328357,276,11,0.03985507246376811,8,3
Alan Woodward,40,0,0,44,1,0.022727272727272728,253,4,0.015810276679841896,4,0
Mikhail Khludnev,37,0,0,37,0,0,228,0,0,0,0
Mike Drob,61,2,0.03278688524590164,63,2,0.031746031746031744,212,2,0.009433962264150943,1,1
Erik Hatcher,54,3,0.05555555555555555,62,3,0.04838709677419355,188,8,0.0425531914893617,6,2
Kevin Risden,19,0,0,23,0,0,184,4,0.021739130434782608,1,3
Michael McCandless,14,0,0,14,0,0,184,0,0,0,0
Andrzej Bialecki,81,5,0.06172839506172839,85,6,0.07058823529411765,182,4,0.02197802197802198,4,0
Christine Poerschke,44,1,0.022727272727272728,46,1,0.021739130434782608,181,2,0.011049723756906077,0,2
Jason Gerlowski,25,1,0.04,27,1,0.037037037037037035,181,2,0.011049723756906077,0,2
Upayavira,31,1,0.03225806451612903,32,1,0.03125,169,1,0.005917159763313609,1,0
Munendra S N,31,0,0,31,0,0,164,0,0,0,0
Joel Bernstein,49,2,0.04081632653061224,50,2,0.04,155,1,0.0064516129032258064,1,0
Markus Jelsma,91,4,0.04395604395604396,93,4,0.043010752688172046,135,2,0.014814814814814815,0,2
Cao Manh Dat,43,0,0,46,1,0.021739130434782608,132,3,0.022727272727272728,2,1
Stefan Matheis,24,1,0.041666666666666664,25,1,0.04,128,1,0.0078125,1,0
James Dyer,32,0,0,43,0,0,127,11,0.08661417322834646,2,9
Dawid Weiss,42,0,0,45,0,0,124,3,0.024193548387096774,0,3
Ryan McKinley,25,0,0,25,0,0,121,0,0,0,0
Koji Sekiguchi,37,1,0.02702702702702703,42,1,0.023809523809523808,118,5,0.0423728813559322,0,5
Houston Putman,21,2,0.09523809523809523,25,2,0.08,92,4,0.043478260869565216,3,1
Eric Pugh,24,2,0.08333333333333333,24,2,0.08333333333333333,80,0,0,0,0
Jack Krupansky,29,1,0.034482758620689655,30,1,0.03333333333333333,76,1,0.013157894736842105,1,0
Gus Heck,33,3,0.09090909090909091,36,2,0.05555555555555555,74,3,0.04054054054054054,1,2
Lance Norskog,24,2,0.08333333333333333,24,2,0.08333333333333333,67,0,0,0,0
Amrit Sarkar,20,1,0.05,21,1,0.047619047619047616,64,1,0.015625,1,0
