Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Sean R. Owen,68,3,0.04411764705882353,588,37,0.06292517006802721,4379,520,0.1187485727335008,32,488
Hyukjin Kwon,141,9,0.06382978723404255,346,25,0.07225433526011561,3315,205,0.06184012066365008,23,182
Dongjoon Hyun,282,33,0.11702127659574468,407,42,0.10319410319410319,1573,125,0.07946598855689765,83,42
Xiao Li,237,20,0.08438818565400844,293,25,0.08532423208191127,1513,56,0.037012557832121616,47,9
Wenchen Fan,239,16,0.06694560669456066,252,16,0.06349206349206349,1425,13,0.009122807017543859,7,6
Michael Armbrust,200,14,0.07,302,23,0.076158940397351,1029,102,0.09912536443148688,93,9
Reynold Xin,106,5,0.04716981132075472,158,8,0.05063291139240506,1014,52,0.05128205128205128,40,12
Josh Rosen,246,34,0.13821138211382114,297,40,0.13468013468013468,984,51,0.051829268292682924,42,9
Marcelo Masiero Vanzin,182,10,0.054945054945054944,208,10,0.04807692307692308,842,26,0.030878859857482184,10,16
Takeshi Yamamuro,38,2,0.05263157894736842,44,2,0.045454545454545456,807,6,0.007434944237918215,0,6
Patrick Wendell,98,16,0.16326530612244897,209,30,0.14354066985645933,755,111,0.14701986754966886,88,23
Andrew Or,237,22,0.09282700421940929,315,29,0.09206349206349207,726,78,0.10743801652892562,63,15
Yin Huai,206,35,0.16990291262135923,279,40,0.14336917562724014,632,73,0.11550632911392406,47,26
Shixiong Zhu,228,27,0.11842105263157894,244,25,0.10245901639344263,573,16,0.027923211169284468,9,7
L. C. Hsieh,138,7,0.050724637681159424,150,5,0.03333333333333333,557,12,0.02154398563734291,5,7
Davies Liu,199,17,0.08542713567839195,232,20,0.08620689655172414,540,33,0.06111111111111111,24,9
Cheng Lian,197,27,0.13705583756345177,221,30,0.13574660633484162,461,24,0.052060737527114966,20,4
Thomas Graves,148,11,0.07432432432432433,166,11,0.06626506024096386,385,18,0.046753246753246755,15,3
Herman van Hövell,53,3,0.05660377358490566,65,4,0.06153846153846154,382,12,0.031413612565445025,5,7
Yuming Wang,117,10,0.08547008547008547,118,9,0.07627118644067797,357,1,0.0028011204481792717,0,1
Xiangrui Meng,101,20,0.19801980198019803,132,20,0.15151515151515152,356,31,0.08707865168539326,22,9
Tathagata Das,107,17,0.1588785046728972,123,18,0.14634146341463414,332,16,0.04819277108433735,11,5
Kousuke Saruta,204,14,0.06862745098039216,208,12,0.057692307692307696,298,4,0.013422818791946308,3,1
Joseph K. Bradley,77,6,0.07792207792207792,97,7,0.07216494845360824,276,20,0.07246376811594203,10,10
Saisai Shao,70,10,0.14285714285714285,81,9,0.1111111111111111,270,11,0.040740740740740744,2,9
Shivaram Venkataraman,37,1,0.02702702702702703,38,1,0.02631578947368421,231,1,0.004329004329004329,1,0
Jungtaek Lim,72,3,0.041666666666666664,86,3,0.03488372093023256,231,14,0.06060606060606061,7,7
Marco Gaido,25,5,0.2,32,8,0.25,228,7,0.03070175438596491,0,7
Felix Cheung,94,5,0.05319148936170213,98,5,0.05102040816326531,219,4,0.0182648401826484,0,4
