Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Jake Farrell,54,0,0,60,2,0.03333333333333333,1356,6,0.004424778761061947,1,5
Jens Geyer,265,14,0.052830188679245285,306,15,0.049019607843137254,1151,41,0.035621198957428324,12,29
James E. King III,134,17,0.12686567164179105,215,25,0.11627906976744186,682,81,0.1187683284457478,17,64
Roger Meier,33,1,0.030303030303030304,34,1,0.029411764705882353,519,1,0.0019267822736030828,1,0
Bryan Duxbury,76,1,0.013157894736842105,93,1,0.010752688172043012,400,17,0.0425,12,5
Nobuaki Sukegawa,112,0,0,113,0,0,308,1,0.003246753246753247,0,1
David Reiss,24,2,0.08333333333333333,26,2,0.07692307692307693,217,2,0.009216589861751152,0,2
Randy Abernethy,18,1,0.05555555555555555,19,1,0.05263157894736842,86,1,0.011627906976744186,1,0
Ben Craig,21,0,0,21,0,0,78,0,0,0,0
Kevin Clark,15,2,0.13333333333333333,16,2,0.125,74,1,0.013513513513513514,1,0
Konrad Grochowski,32,0,0,32,0,0,74,0,0,0,0
Todd Lipcon,10,0,0,10,0,0,51,0,0,0,0
Mario Emmenlauer,13,0,0,13,0,0,39,0,0,0,0
Simon South,12,0,0,12,0,0,34,0,0,0,0
Zezeng Wang,13,1,0.07692307692307693,14,1,0.07142857142857142,33,1,0.030303030303030304,0,1
Anthony Molinaro,12,0,0,12,0,0,30,0,0,0,0
Esteve Fernandez,16,0,0,18,0,0,30,2,0.06666666666666667,1,1
Yuxuan Wang,12,2,0.16666666666666666,13,2,0.15384615384615385,30,1,0.03333333333333333,0,1
Kevin Ballard,23,0,0,23,0,0,28,0,0,0,0
Christian Lavoie,12,1,0.08333333333333333,13,1,0.07692307692307693,22,1,0.045454545454545456,0,1
Alexander Shigin,13,2,0.15384615384615385,13,2,0.15384615384615385,20,0,0,0,0
Rush Manbert,16,0,0,16,0,0,19,0,0,0,0
Vitali Lovich,13,1,0.07692307692307693,13,1,0.07692307692307693,16,0,0,0,0
Mark Erickson,10,0,0,10,0,0,15,0,0,0,0
Chris Stylianou,11,0,0,11,0,0,14,0,0,0,0
Stig Bakken,14,0,0,14,0,0,14,0,0,0,0
Pascal Bach,11,0,0,11,0,0,13,0,0,0,0
Gonzalo Aguilar,11,0,0,11,0,0,13,0,0,0,0
Dave Engberg,10,1,0.1,10,1,0.1,13,0,0,0,0
wangyunjian,12,0,0,12,0,0,12,0,0,0,0
Kengo Seki,12,1,0.08333333333333333,12,1,0.08333333333333333,12,0,0,0,0
Chandler May,10,1,0.1,11,1,0.09090909090909091,11,1,0.09090909090909091,0,1
Chi Vinh Le,10,1,0.1,10,1,0.1,11,0,0,0,0
Buğra Gedik,10,0,0,10,0,0,10,0,0,0,0
