Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Leif Hedstrom,547,31,0.056672760511883,648,35,0.05401234567901234,2808,101,0.03596866096866097,82,19
James Peach,245,6,0.024489795918367346,261,6,0.022988505747126436,873,16,0.018327605956471937,10,6
Bryan Call,150,7,0.04666666666666667,157,6,0.03821656050955414,859,7,0.008149010477299184,6,1
Phil Sorber,38,1,0.02631578947368421,48,1,0.020833333333333332,466,10,0.02145922746781116,7,3
Alan M. Carroll,71,10,0.14084507042253522,83,10,0.12048192771084337,461,12,0.026030368763557483,0,12
Susan Hinrichs,87,3,0.034482758620689655,87,3,0.034482758620689655,397,0,0,0,0
Igor Galić,111,0,0,111,0,0,351,0,0,0,0
Zhao Yongming,117,9,0.07692307692307693,121,9,0.0743801652892562,253,4,0.015810276679841896,4,0
Brian Geffon,65,0,0,65,0,0,163,0,0,0,0
Sudheer Vinukonda,87,7,0.08045977011494253,92,7,0.07608695652173914,155,5,0.03225806451612903,5,0
Thomas Jackson,55,1,0.01818181818181818,56,1,0.017857142857142856,89,1,0.011235955056179775,1,0
John Plevyak,29,2,0.06896551724137931,29,1,0.034482758620689655,81,0,0,0,0
George Paul,33,5,0.15151515151515152,33,5,0.15151515151515152,79,0,0,0,0
bettydramit,56,6,0.10714285714285714,57,6,0.10526315789473684,76,1,0.013157894736842105,1,0
David Carlin,38,5,0.13157894736842105,39,5,0.1282051282051282,71,1,0.014084507042253521,1,0
Yunkai Zhang,28,0,0,28,0,0,64,0,0,0,0
Masaori Koshiba,28,3,0.10714285714285714,28,3,0.10714285714285714,63,0,0,0,0
