Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Martin Tzvetanov Grigorov,187,1,0.0053475935828877,254,4,0.015748031496062992,1729,67,0.038750722961249276,2,65
Igor Vaynberg,36,1,0.027777777777777776,73,3,0.0410958904109589,1451,37,0.025499655410062026,5,32
Sven Meier,70,0,0,95,0,0,560,25,0.044642857142857144,2,23
Juegen Donnerstag,18,0,0,21,0,0,415,3,0.007228915662650603,2,1
Johan Compagner,14,0,0,15,0,0,333,1,0.003003003003003003,0,1
Andrea Del Bene,32,0,0,34,0,0,276,2,0.007246376811594203,0,2
Martijn Dashorst,72,3,0.041666666666666664,77,3,0.03896103896103896,248,5,0.020161290322580645,1,4
Matej Knopp,25,0,0,32,1,0.03125,228,7,0.03070175438596491,2,5
Eelco Hillenius,43,2,0.046511627906976744,49,2,0.04081632653061224,182,6,0.03296703296703297,4,2
Alastair Maw,19,1,0.05263157894736842,29,2,0.06896551724137931,170,10,0.058823529411764705,1,9
Emond Papegaaij,70,0,0,70,0,0,166,0,0,0,0
Pedro Santos,36,2,0.05555555555555555,37,2,0.05405405405405406,139,1,0.007194244604316547,0,1
Jean-Baptiste Quenot,34,2,0.058823529411764705,38,2,0.05263157894736842,138,4,0.028985507246376812,3,1
Peter Ertl,57,2,0.03508771929824561,59,1,0.01694915254237288,125,2,0.016,2,0
Gerolf Seitz,17,1,0.058823529411764705,20,1,0.05,98,3,0.030612244897959183,0,3
Jeremy Thomerson,7,0,0,14,0,0,74,7,0.0945945945945946,0,7
Maxim Solodovnik,14,1,0.07142857142857142,14,1,0.07142857142857142,52,0,0,0,0
Attila Király,23,0,0,23,0,0,41,0,0,0,0
Martin Funk,35,1,0.02857142857142857,35,1,0.02857142857142857,40,0,0,0,0
bernard,37,6,0.16216216216216217,40,4,0.1,40,3,0.075,3,0
Richard Emberson,35,1,0.02857142857142857,36,1,0.027777777777777776,35,1,0.02857142857142857,0,1
Marat Radchenko,25,0,0,25,0,0,33,0,0,0,0
Bertrand Guay-Paquet,28,1,0.03571428571428571,28,1,0.03571428571428571,32,0,0,0,0
Carl-Eric Menzel,24,1,0.041666666666666664,24,1,0.041666666666666664,31,0,0,0,0
Martin Terra,22,1,0.045454545454545456,22,1,0.045454545454545456,31,0,0,0,0
Hendy Irawan,15,1,0.06666666666666667,15,1,0.06666666666666667,30,0,0,0,0
Jesse Long,15,0,0,15,0,0,27,0,0,0,0
Carlos Pita,26,0,0,26,0,0,27,0,0,0,0
Erik van Oosten,14,1,0.07142857142857142,14,1,0.07142857142857142,27,0,0,0,0
Kent Tong,20,1,0.05,21,1,0.047619047619047616,24,1,0.041666666666666664,1,0
Kamil,23,0,0,23,0,0,23,0,0,0,0
Peter Major,20,0,0,20,0,0,23,0,0,0,0
Ivan Vasilev,21,0,0,21,0,0,22,0,0,0,0
Thomas Heigl,11,0,0,11,0,0,22,0,0,0,0
Christoph Leiter,15,0,0,15,0,0,21,0,0,0,0
Ilia Naryzhny,17,3,0.17647058823529413,17,3,0.17647058823529413,20,0,0,0,0
Ernesto Reinaldo Barreiro,11,0,0,11,0,0,20,0,0,0,0
Dirk Forchel,17,1,0.058823529411764705,17,1,0.058823529411764705,19,0,0,0,0
Chris Colman,13,0,0,13,0,0,18,0,0,0,0
Maarten Billemont,16,1,0.0625,16,1,0.0625,17,0,0,0,0
Jonas,13,0,0,13,0,0,17,0,0,0,0
Alex Grant,15,1,0.06666666666666667,16,1,0.0625,17,1,0.058823529411764705,1,0
Sebastien Briquet,15,0,0,15,0,0,17,0,0,0,0
Alexander Morozov,14,0,0,14,0,0,16,0,0,0,0
Jan Kriesten,16,0,0,16,0,0,16,0,0,0,0
Daniel Stoch,11,0,0,11,0,0,15,0,0,0,0
Matthias Keller,10,0,0,10,0,0,15,0,0,0,0
Peter Parson,13,0,0,13,0,0,15,0,0,0,0
Frank Klein Koerkamp,11,0,0,11,0,0,15,0,0,0,0
David Shepherdson,10,1,0.1,10,1,0.1,14,0,0,0,0
Adriano dos Santos Fernandes,14,0,0,14,0,0,14,0,0,0,0
Jan Loose,13,0,0,13,0,0,14,0,0,0,0
David Rain,14,0,0,14,0,0,14,0,0,0,0
Dominik Drzewiecki,11,0,0,11,0,0,14,0,0,0,0
smallufo,13,0,0,13,0,0,13,0,0,0,0
Nick Pratt,11,0,0,11,0,0,13,0,0,0,0
Marieke Vandamme,11,0,0,11,0,0,13,0,0,0,0
Fridolin Jackstadt,11,2,0.18181818181818182,11,2,0.18181818181818182,12,0,0,0,0
Adrian Sándor,12,0,0,12,0,0,12,0,0,0,0
Per Newgro,12,1,0.08333333333333333,12,1,0.08333333333333333,12,0,0,0,0
Konstantin Ignatyev,10,0,0,10,0,0,12,0,0,0,0
Nino Martinez,12,1,0.08333333333333333,13,1,0.07692307692307693,12,1,0.08333333333333333,0,1
Sebastiaan van Erk,12,1,0.08333333333333333,13,1,0.07692307692307693,12,1,0.08333333333333333,0,1
Sylvain Vieujot,11,0,0,11,0,0,11,0,0,0,0
John Patterson,10,0,0,10,0,0,10,0,0,0,0
Roland Foerther,10,0,0,10,0,0,10,0,0,0,0
Vincent MATHON,10,0,0,10,0,0,10,0,0,0,0
Nathan Hamblen,10,0,0,10,0,0,10,0,0,0,0
Robin Shine,9,2,0.2222222222222222,10,2,0.2,9,1,0.1111111111111111,0,1
