Project,Age(y),Language,#Star,#Contributors,#Revision,#Committers,#Bug in JIRA
ActiveMQ,17,Java(97%),2085,125,10728,166,5058
Ambari,11,"Java(44.8%),JavaScript(24.6%),Python(14.2%)",1757,143,24110,236,17961
Arrow,8,"C++(50.1%),Java(14.4%),Go(8.9%),Python(6.2%)",10494,806,12327,948,5576
Axis2,18,"Java,C,C++",15,20,14030,87,4558
Camel,16,Java(99.1%),4566,900,55632,1100,5758
CloudStack,12,"Java(66.6%),Python(21.7%)",1276,373,32759,608,7861
Cordova,14,"JavaScript,Java,Objective-C",3412,202,33010,1223,8780
Drill,10,Java(96.9%),1739,182,4313,218,5437
Flink,12,"Java(85.8%),Scala(9.7%)",20007,1078,31286,1598,11003
Geode,12,"Java(84%),HTML(10.2%)",2146,141,10803,204,5429
Groovy,19,"Java(54.2%),Groovy(44.7%)",4670,350,18983,440,6921
Guacamole,12,"C,Java,JavaScript",2254,80,8069,141,856
Hadoop,13,Java(92.8%),13015,470,25738,645,23798
Hbase,16,Java(95.9%),4665,392,19428,600,12227
Hive,14,Java(85%),4511,310,16040,487,14306
Hudi,6,"Java(81.6%),Scala(16.3%)",3610,338,3314,381,1177
Ignite,9,"Java(78.9%),C#(12.1%),C++(7%)",4305,281,22146,456,7242
Impala,11,"C++(51.6%),Java(25.9%),Python(15.1%)",153,153,10379,243,6238
Jackrabbit-Oak,11,Java(99.1%),350,48,17839,77,3726
Kafka,11,"Java(74.8%),Scala(22.2%)",23392,951,10361,1116,6808
Lucene,21,Java(97.7%),4305,300,35469,386,4201
Mesos,12,C++(92%),4974,322,18175,388,4922
NetBeans,9,Java(86.4%),2057,182,5320,235,4740
NiFi,8,Java(87.6%),3474,415,7303,570,4427
OFBiz,16,"Java,JavaScript",744,60,32911,89,4740
Ozone,5,Java(98%),581,164,4830,193,2471
Qpid,16,"Java,C++,HTML",198,48,45216,121,5097
Solr,21,Java(96.8%),4305,295,32002,228,7209
Spark,13,"Scala(67.2%),Python(12.7%),Java(7.2%)",34194,1847,32561,2572,15508
Thrift,16,"C++(33.1%),Java(9.4%),C(7.3%)",9406,399,6553,562,3058
Traffic Server,13,"C++(81.4%),Python(7.4%),C(6.9%)",1519,251,13643,381,3026
Wicket,18,Java(88.4%),642,92,21108,142,4193
