Project,BugCount,BugOfPriorityChangedCount,Percentage
activemq,5058,216,4.3
ambari,17961,307,1.7
arrow,5576,290,5.2
axis2,4554,425,9.3
camel,5758,807,14
cloudstack,7861,870,11.1
cordova,8780,813,9.3
drill,5437,579,10.6
flink,10296,2049,19.9
geode,5429,150,2.8
groovy,6918,352,5.1
guacamole,856,209,24.4
hadoop,23798,2244,9.4
hbase,12227,1142,9.3
hive,14306,509,3.6
hudi,1177,184,15.6
ignite,7242,582,8
impala,6238,1431,22.9
jackrabbit-oak,3726,168,4.5
kafka,6808,617,9.1
lucene,4201,201,4.8
mesos,4922,427,8.7
netbeans,4740,314,6.6
nifi,4427,221,5
ofbiz,4740,215,4.5
ozone,2471,194,7.9
qpid,5097,214,4.2
solr,7209,377,5.2
spark,15265,1773,11.6
thrift,3058,183,6
trafficserver,3026,165,5.5
wicket,4193,212,5.1
All projects,223355,18440,8.3
