Project,Min,Median,Average,Max,Over365Count,Over365Percent
activemq,0.0022431018518518516,10.95,125.1,1440.44,17,7.9
ambari,0.0004996180555555556,0.29,14.83,1258.75,1,0.3
arrow,0.0007354629629629629,0.85,46.77,883.01,10,3.4
axis2,0.0007350462962962963,15.07,72.34,2280.7,12,2.8
camel,0.000402962962962963,0.5,19.66,878.04,11,1.4
cloudstack,0.0012701041666666666,5.93,30.07,1028.01,3,0.3
cordova,0.0010098263888888889,5.13,54.25,977.14,33,4.1
drill,0.0006720486111111111,12.92,49.38,998.9,12,2.1
flink,0.0001763425925925926,8.2,180.29,2452.13,280,13.7
geode,0.0001096412037037037,5.2,170.92,1157.41,29,19.3
groovy,0.00043577546296296295,4.06,145.06,4024.97,34,9.7
guacamole,0.0005034259259259259,0.16,16.49,334.85,0,0
hadoop,0.0005542361111111111,2.92,65.17,2163.18,114,5.1
hbase,0.00037859953703703704,1.65,49.6,2774.03,41,3.6
hive,0.0019978819444444445,4.76,61.1,1349.05,24,4.7
hudi,0.0009957986111111111,6.74,64.35,1007.95,13,7.1
ignite,0.00013783564814814813,4.95,94.41,1294.59,54,9.3
impala,0.00005787037037037037,13.07,113.77,2611.83,145,10.1
jackrabbit-oak,0.00400025462962963,3.27,63.69,1533.01,7,4.2
kafka,0.00025193287037037035,1.75,64.45,2372.47,31,5
lucene,0.0015177546296296295,2.84,211.36,2028.66,42,20.9
mesos,0.0007941666666666667,5.07,90.36,1189.66,35,8.2
netbeans,0.0013397222222222222,7.24,61.79,1184.81,14,4.5
nifi,0.00022787037037037036,0.85,33.21,978.16,5,2.3
ofbiz,0.00044026620370370373,2.46,108.93,2144.06,22,10.2
ozone,0.0014021064814814816,3.44,55.37,1246.04,8,4.1
qpid,0.0002548842592592592,4.07,45.29,843.26,8,3.7
solr,0.0004732060185185185,4.64,81.78,2122.48,24,6.4
spark,0.0001163888888888889,0.92,27.31,1453.73,28,1.6
thrift,0.003506574074074074,7.73,171.36,2642.75,25,13.7
trafficserver,0.000616875,3.15,56.11,944.63,6,3.6
wicket,0.0007095138888888889,0.3,20.31,1652.07,1,0.5
