Project,Total,PhaseBCount,PhaseBPercent,PhaseICount,PhaseIPercent,PhaseRCount,PhaseRPercent,PhaseACount,PhaseAPercent
activemq,231,101,43.7,114,49.4,13,5.6,3,1.3
ambari,317,97,30.6,163,51.4,13,4.1,44,13.9
arrow,316,227,71.8,78,24.7,3,0.9,8,2.5
axis2,503,189,37.6,277,55.1,33,6.6,4,0.8
camel,867,433,49.9,374,43.1,13,1.5,47,5.4
cloudstack,1027,417,40.6,463,45.1,111,10.8,36,3.5
cordova,916,488,53.3,388,42.4,28,3.1,12,1.3
drill,644,332,51.6,294,45.7,17,2.6,1,0.2
flink,2629,1544,58.7,767,29.2,130,4.9,188,7.2
geode,158,71,44.9,66,41.8,18,11.4,3,1.9
groovy,381,181,47.5,176,46.2,19,5,5,1.3
guacamole,226,171,75.7,49,21.7,6,2.7,0,0
hadoop,2507,1262,50.3,1030,41.1,70,2.8,145,5.8
hbase,1272,615,48.3,535,42.1,50,3.9,72,5.7
hive,549,264,48.1,254,46.3,15,2.7,16,2.9
hudi,258,134,51.9,114,44.2,6,2.3,4,1.6
ignite,674,349,51.8,301,44.7,11,1.6,13,1.9
impala,1792,872,48.7,826,46.1,72,4,22,1.2
jackrabbit-oak,181,82,45.3,68,37.6,7,3.9,24,13.3
kafka,701,447,63.8,199,28.4,31,4.4,24,3.4
lucene,213,86,40.4,111,52.1,10,4.7,6,2.8
mesos,510,270,52.9,215,42.2,1,0.2,24,4.7
netbeans,377,164,43.5,204,54.1,7,1.9,2,0.5
nifi,239,145,60.7,74,31,11,4.6,9,3.8
ofbiz,238,107,45,108,45.4,13,5.5,10,4.2
ozone,209,141,67.5,59,28.2,1,0.5,8,3.8
qpid,230,104,45.2,95,41.3,8,3.5,23,10
solr,413,217,52.5,165,40,18,4.4,13,3.1
spark,2028,965,47.6,819,40.4,62,3.1,182,9
thrift,202,85,42.1,92,45.5,5,2.5,20,9.9
trafficserver,179,94,52.5,74,41.3,4,2.2,7,3.9
wicket,228,104,45.6,95,41.7,12,5.3,17,7.5
All projects,21215,10758,50.7,8647,40.8,818,3.9,992,4.7
