Project,Pattern1,Pattern1Percent,Pattern2,Pattern2Percent,Pattern3,Pattern3Percent,Pattern4,Pattern4Percent,Pattern5,Pattern5Percent,Pattern6,Pattern6Percent,Pattern7,Pattern7Percent,Pattern8,Pattern8Percent,Pattern9,Pattern9Percent,Pattern10,Pattern10Percent,Pattern11,Pattern11Percent,Pattern12,Pattern12Percent,Pattern13,Pattern13Percent,Pattern14,Pattern14Percent,Pattern15,Pattern15Percent,Pattern16,Pattern16Percent,Pattern17,Pattern17Percent,Pattern18,Pattern18Percent,Pattern19,Pattern19Percent,Pattern20,Pattern20Percent,Pattern21,Pattern21Percent,Pattern22,Pattern22Percent,Pattern23,Pattern23Percent,Pattern24,Pattern24Percent
activemq,71.000000,32.900000,134.000000,62.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,1.000000,0.500000,0.000000,0.000000,5.000000,2.300000,1.000000,0.500000,1.000000,0.500000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ambari,248.000000,80.800000,51.000000,16.600000,2.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,1.000000,1.000000,0.300000,1.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
arrow,141.000000,48.600000,127.000000,43.800000,2.000000,0.700000,1.000000,0.300000,0.000000,0.000000,1.000000,0.300000,1.000000,0.300000,1.000000,0.300000,11.000000,3.800000,2.000000,0.700000,1.000000,0.300000,1.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
axis2,248.000000,58.400000,112.000000,26.400000,4.000000,0.900000,25.000000,5.900000,0.000000,0.000000,3.000000,0.700000,3.000000,0.700000,0.000000,0.000000,16.000000,3.800000,5.000000,1.200000,1.000000,0.200000,1.000000,0.200000,1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,2.000000,0.500000,1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
camel,41.000000,5.100000,726.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,1.500000,2.000000,0.200000,0.000000,0.000000,7.000000,0.900000,6.000000,0.700000,2.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.900000,4.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cloudstack,501.000000,57.600000,244.000000,28.000000,18.000000,2.100000,9.000000,1.000000,1.000000,0.100000,8.000000,0.900000,7.000000,0.800000,5.000000,0.600000,35.000000,4.000000,16.000000,1.800000,6.000000,0.700000,2.000000,0.200000,1.000000,0.100000,0.000000,0.000000,0.000000,0.000000,8.000000,0.900000,2.000000,0.200000,3.000000,0.300000,0.000000,0.000000,0.000000,0.000000,2.000000,0.200000,1.000000,0.100000,0.000000,0.000000,1.000000,0.100000
cordova,160.000000,19.700000,570.000000,70.100000,4.000000,0.500000,3.000000,0.400000,4.000000,0.500000,23.000000,2.800000,2.000000,0.200000,3.000000,0.400000,19.000000,2.300000,10.000000,1.200000,1.000000,0.100000,0.000000,0.000000,1.000000,0.100000,0.000000,0.000000,0.000000,0.000000,2.000000,0.200000,3.000000,0.400000,1.000000,0.100000,0.000000,0.000000,0.000000,0.000000,2.000000,0.200000,2.000000,0.200000,1.000000,0.100000,1.000000,0.100000
drill,293.000000,50.600000,222.000000,38.300000,4.000000,0.700000,2.000000,0.300000,3.000000,0.500000,0.000000,0.000000,10.000000,1.700000,0.000000,0.000000,35.000000,6.000000,9.000000,1.600000,1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
flink,1051.000000,51.300000,579.000000,28.300000,73.000000,3.600000,30.000000,1.500000,12.000000,0.600000,40.000000,2.000000,6.000000,0.300000,13.000000,0.600000,82.000000,4.000000,43.000000,2.100000,22.000000,1.100000,22.000000,1.100000,11.000000,0.500000,1.000000,0.000000,1.000000,0.000000,17.000000,0.800000,26.000000,1.300000,3.000000,0.100000,0.000000,0.000000,0.000000,0.000000,6.000000,0.300000,4.000000,0.200000,3.000000,0.100000,4.000000,0.200000
geode,27.000000,18.000000,115.000000,76.700000,1.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.700000,0.000000,0.000000,1.000000,0.700000,5.000000,3.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
groovy,166.000000,47.200000,159.000000,45.200000,1.000000,0.300000,3.000000,0.900000,0.000000,0.000000,1.000000,0.300000,4.000000,1.100000,0.000000,0.000000,14.000000,4.000000,2.000000,0.600000,1.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
guacamole,11.000000,5.300000,186.000000,89.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.900000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,3.000000,1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hadoop,1322.000000,58.900000,693.000000,30.900000,38.000000,1.700000,20.000000,0.900000,6.000000,0.300000,10.000000,0.400000,20.000000,0.900000,7.000000,0.300000,84.000000,3.700000,17.000000,0.800000,7.000000,0.300000,2.000000,0.100000,2.000000,0.100000,0.000000,0.000000,0.000000,0.000000,2.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,0.500000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000
hbase,675.000000,59.100000,353.000000,30.900000,30.000000,2.600000,7.000000,0.600000,2.000000,0.200000,3.000000,0.300000,13.000000,1.100000,3.000000,0.300000,33.000000,2.900000,10.000000,0.900000,3.000000,0.300000,3.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.200000,2.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hive,366.000000,71.900000,106.000000,20.800000,6.000000,1.200000,7.000000,1.400000,0.000000,0.000000,4.000000,0.800000,3.000000,0.600000,0.000000,0.000000,12.000000,2.400000,2.000000,0.400000,1.000000,0.200000,1.000000,0.200000,1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
hudi,104.000000,56.500000,26.000000,14.100000,7.000000,3.800000,11.000000,6.000000,2.000000,1.100000,1.000000,0.500000,1.000000,0.500000,0.000000,0.000000,7.000000,3.800000,10.000000,5.400000,5.000000,2.700000,1.000000,0.500000,2.000000,1.100000,0.000000,0.000000,0.000000,0.000000,2.000000,1.100000,3.000000,1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000
ignite,290.000000,49.800000,215.000000,36.900000,9.000000,1.500000,11.000000,1.900000,1.000000,0.200000,9.000000,1.500000,6.000000,1.000000,0.000000,0.000000,24.000000,4.100000,5.000000,0.900000,0.000000,0.000000,2.000000,0.300000,1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,4.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000
impala,638.000000,44.600000,530.000000,37.000000,43.000000,3.000000,27.000000,1.900000,8.000000,0.600000,26.000000,1.800000,6.000000,0.400000,3.000000,0.200000,51.000000,3.600000,32.000000,2.200000,13.000000,0.900000,10.000000,0.700000,3.000000,0.200000,0.000000,0.000000,1.000000,0.100000,6.000000,0.400000,16.000000,1.100000,3.000000,0.200000,1.000000,0.100000,0.000000,0.000000,9.000000,0.600000,1.000000,0.100000,2.000000,0.100000,2.000000,0.100000
jackrabbit-oak,76.000000,45.200000,80.000000,47.600000,2.000000,1.200000,0.000000,0.000000,0.000000,0.000000,1.000000,0.600000,1.000000,0.600000,0.000000,0.000000,6.000000,3.600000,1.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.600000,0.000000,0.000000
kafka,429.000000,69.500000,116.000000,18.800000,15.000000,2.400000,10.000000,1.600000,1.000000,0.200000,0.000000,0.000000,1.000000,0.200000,2.000000,0.300000,23.000000,3.700000,8.000000,1.300000,4.000000,0.600000,3.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
lucene,62.000000,30.800000,129.000000,64.200000,0.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,2.500000,1.000000,0.500000,1.000000,0.500000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
mesos,246.000000,57.600000,118.000000,27.600000,6.000000,1.400000,12.000000,2.800000,1.000000,0.200000,3.000000,0.700000,1.000000,0.200000,1.000000,0.200000,18.000000,4.200000,4.000000,0.900000,4.000000,0.900000,6.000000,1.400000,1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,1.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
netbeans,107.000000,34.100000,152.000000,48.400000,9.000000,2.900000,5.000000,1.600000,0.000000,0.000000,6.000000,1.900000,10.000000,3.200000,2.000000,0.600000,15.000000,4.800000,1.000000,0.300000,1.000000,0.300000,1.000000,0.300000,1.000000,0.300000,0.000000,0.000000,0.000000,0.000000,1.000000,0.300000,0.000000,0.000000,2.000000,0.600000,0.000000,0.000000,1.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
nifi,111.000000,50.200000,94.000000,42.500000,1.000000,0.500000,2.000000,0.900000,0.000000,0.000000,1.000000,0.500000,1.000000,0.500000,0.000000,0.000000,8.000000,3.600000,2.000000,0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ofbiz,43.000000,20.000000,153.000000,71.200000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,3.000000,1.400000,0.000000,0.000000,7.000000,3.300000,3.000000,1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ozone,156.000000,80.400000,24.000000,12.400000,5.000000,2.600000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,5.000000,2.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
qpid,50.000000,23.400000,149.000000,69.600000,1.000000,0.500000,2.000000,0.900000,1.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,6.000000,2.800000,3.000000,1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
solr,183.000000,48.500000,164.000000,43.500000,3.000000,0.800000,1.000000,0.300000,0.000000,0.000000,0.000000,0.000000,7.000000,1.900000,0.000000,0.000000,11.000000,2.900000,3.000000,0.800000,1.000000,0.300000,2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.300000,0.000000,0.000000,1.000000,0.300000,0.000000,0.000000
spark,662.000000,37.300000,894.000000,50.400000,39.000000,2.200000,15.000000,0.800000,9.000000,0.500000,16.000000,0.900000,10.000000,0.600000,12.000000,0.700000,61.000000,3.400000,23.000000,1.300000,6.000000,0.300000,7.000000,0.400000,2.000000,0.100000,0.000000,0.000000,1.000000,0.100000,5.000000,0.300000,2.000000,0.100000,2.000000,0.100000,0.000000,0.000000,0.000000,0.000000,5.000000,0.300000,1.000000,0.100000,1.000000,0.100000,0.000000,0.000000
thrift,54.000000,29.500000,113.000000,61.700000,0.000000,0.000000,2.000000,1.100000,0.000000,0.000000,5.000000,2.700000,0.000000,0.000000,2.000000,1.100000,3.000000,1.600000,2.000000,1.100000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
trafficserver,110.000000,66.700000,42.000000,25.500000,3.000000,1.800000,0.000000,0.000000,0.000000,0.000000,1.000000,0.600000,0.000000,0.000000,0.000000,0.000000,8.000000,4.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
