Project,Blocker,BlockerPC,BlockerPCPercent,Critical,CriticalPC,CriticalPCPercent,Major,MajorPC,MajorPCPercent,Minor,MinorPC,MinorPCPercent,Trivial,TrivialPC,TrivialPCPercent
activemq,191,43,22.5,451,53,11.8,3835,116,3,718,18,2.5,94,1,1.1
ambari,1613,25,1.5,4282,43,1,11686,220,1.9,610,24,3.9,87,5,5.7
arrow,369,75,20.3,262,35,13.4,4309,181,4.2,851,23,2.7,101,2,2
axis2,632,135,21.4,555,74,13.3,3260,261,8,549,30,5.5,61,3,4.9
camel,72,47,65.3,241,140,58.1,4441,642,14.5,1774,33,1.9,97,5,5.2
cloudstack,1327,186,14,2391,285,11.9,4432,509,11.5,666,45,6.8,72,2,2.8
cordova,483,181,37.5,700,200,28.6,6426,448,7,1903,80,4.2,184,7,3.8
drill,267,47,17.6,609,81,13.3,4394,469,10.7,776,44,5.7,35,3,8.6
flink,1559,294,18.9,2057,508,24.7,7424,1513,20.4,1716,145,8.4,169,169,100
geode,17,4,23.5,38,7,18.4,5188,132,2.5,289,12,4.2,55,3,5.5
groovy,327,70,21.4,498,80,16.1,5181,199,3.8,1214,30,2.5,79,2,2.5
guacamole,70,11,15.7,77,28,36.4,489,173,35.4,388,14,3.6,58,0,0
hadoop,2293,297,13,2132,343,16.1,16946,1574,9.3,4112,234,5.7,822,59,7.2
hbase,815,104,12.8,1366,157,11.5,8297,848,10.2,2452,139,5.7,569,24,4.2
hive,499,39,7.8,1113,76,6.8,11513,368,3.2,1450,61,4.2,280,5,1.8
hudi,327,62,19,143,39,27.3,867,142,16.4,95,15,15.8,3,0,0
ignite,600,80,13.3,963,150,15.6,5489,393,7.2,771,47,6.1,93,4,4.3
impala,1659,267,16.1,1522,369,24.2,3906,1053,27,903,100,11.1,40,3,7.5
jackrabbit-oak,139,15,10.8,150,11,7.3,2766,132,4.8,798,21,2.6,54,2,3.7
kafka,791,86,10.9,758,89,11.7,4862,463,9.5,979,57,5.8,119,6,5
lucene,162,21,13,116,20,17.2,2959,154,5.2,1029,15,1.5,148,3,2
mesos,429,73,17,360,82,22.8,3953,323,8.2,612,30,4.9,78,2,2.6
netbeans,262,105,40.1,382,56,14.7,3319,152,4.6,1036,57,5.5,118,7,5.9
nifi,268,39,14.6,357,26,7.3,2820,135,4.8,1050,37,3.5,171,2,1.2
ofbiz,84,27,32.1,183,58,31.7,2880,110,3.8,1455,33,2.3,376,10,2.7
ozone,238,16,6.7,184,17,9.2,2005,169,8.4,210,7,3.3,43,0,0
qpid,192,32,16.7,218,20,9.2,3938,157,4,868,19,2.2,111,2,1.8
solr,346,69,19.9,399,46,11.5,4937,240,4.9,1701,50,2.9,239,8,3.3
spark,1239,311,25.1,1400,373,26.6,11002,1111,10.1,3288,209,6.4,364,24,6.6
thrift,137,30,21.9,214,46,21.5,2136,104,4.9,617,20,3.2,156,2,1.3
trafficserver,124,11,8.9,127,15,11.8,2642,147,5.6,270,6,2.2,42,0,0
wicket,61,24,39.3,192,70,36.5,2991,108,3.6,1009,22,2.2,168,4,2.4
All Projects,17592,2826,16.1,24440,3597,14.7,161293,12746,7.9,36159,1677,4.6,5086,369,7.3
