Key,Mean,Std
AMQ-1112,1,0
AMQ-4895,2,0
AMQ-6062,1,0
AMQ-2067,2,0
AMQ-7395,1,0
AMQ-8246,1,0
AMQ-8522,1,0
AMQ-4533,1,0
AMQ-4899,1,0
AMQ-5073,1,0
AMQ-3350,2,0
AMQ-5566,1,0
AMQ-3432,1,0
AMQ-5582,2,0
AMQ-1333,1,0
AMQ-4316,1,0
AMQ-4986,1,0
AMQ-4382,1,0
AMQ-2936,2,0
AMQ-8417,1,0
AMQ-2331,1,0
AMQ-1549,2,0
AMQ-1272,2,0
AMQ-4336,2,0
AMQ-3746,1,0
AMQ-6777,1,0
AMQ-5937,1,0
AMQ-1148,1,0
AMQ-1038,1,0
AMQ-8554,1,0
AMQ-2901,2,0
AMQ-2293,1,0
AMQ-6243,1,0
AMQ-4746,1,0
AMQ-7276,1,0
AMQ-6683,2,0
AMQ-4223,1,0
AMQ-1063,1,0
AMQ-7463,2,0
AMQ-4072,1,0
AMQ-5032,2,0
AMQ-5853,2,0
AMQ-6533,1,0
AMQ-5062,1,0
AMQ-1067,1,0
AMQ-4639,1,0
AMQ-4136,1,0
AMQ-4133,1,0
AMQ-5430,1,0
AMQ-5466,1,0
AMQ-5219,1,0
AMQ-4802,1,0
AMQ-8058,1,0
AMQ-6781,1,0
AMQ-472,1,0
AMQ-3031,1,0
AMQ-2700,1,0
AMQ-2881,1,0
AMQ-3396,2,0
AMQ-7108,1,0
AMQ-4556,1,0
AMQ-3712,2,0
AMQ-6596,1,0
AMQ-2226,2,0
AMQ-1069,2,0
AMQ-3853,1,0
AMQ-8021,1,0
AMQ-2545,1,0
AMQ-3103,1,0
AMQ-8063,1,0
AMQ-7099,3,0
AMQ-7272,2,0
AMQ-5936,1,0
AMQ-4371,1,0
AMQ-502,1,0
AMQ-3922,1,0
AMQ-6075,1,0
AMQ-2627,2,0
AMQ-2536,1,0
AMQ-7470,3,0
AMQ-6120,1,0
AMQ-6600,3,0
AMQ-2778,2,0
AMQ-2520,2,0
AMQ-6162,1,0
AMQ-1482,1,0
AMQ-3736,2,0
AMQ-2016,2,0
AMQ-1213,2,0
AMQ-2831,2,0
AMQ-4468,1,0
AMQ-3608,2,0
AMQ-4159,1,0
AMQ-3762,1,0
AMQ-7046,2,0
AMQ-507,2,0
AMQ-3617,1,0
AMQ-2183,2,0
AMQ-6888,1,0
AMQ-6387,1,0
AMQ-7212,1,0
AMQ-1803,1,0
AMQ-4277,1,0
AMQ-7144,1,0
AMQ-2657,2,0
AMQ-3101,1,0
AMQ-2593,1,0
AMQ-5796,2,0
AMQ-1331,1,0
AMQ-3710,2,0
AMQ-4955,1,0
AMQ-2264,2,0
AMQ-4242,1,0
AMQ-5656,2,0
AMQ-4642,1,0
AMQ-366,3,0
AMQ-3848,3,0
AMQ-170,1,0
AMQ-3658,1,0
AMQ-6507,3,0
AMQ-7491,1.5,0.7071067811865476
AMQ-4828,2,0
AMQ-5004,1,0
AMQ-5508,1,0
AMQ-3629,1,0
AMQ-6327,1,0
AMQ-4471,1,0
AMQ-5550,1,0
AMQ-6462,1,0
AMQ-3009,1,0
AMQ-5098,2,0
AMQ-8553,1,0
AMQ-6831,1,0
AMQ-172,1,0
AMQ-5942,2,0
AMQ-2745,1,0
AMQ-4037,1,0
AMQ-5241,1,0
AMQ-4611,2,0
AMQ-6648,1,0
AMQ-5323,2,0
AMQ-1212,1,0
AMQ-1313,1,0
AMQ-2614,2,0
AMQ-5310,1,0
AMQ-5921,1,0
AMQ-2093,2,0
AMQ-6977,1,0
AMQ-4687,1,0
AMQ-6070,1,0
AMQ-3281,1,0
AMQ-7214,1,0
AMQ-1286,1,0
AMQ-7113,2,0
AMQ-8451,2,0
AMQ-2216,2,0
AMQ-7009,1,0
AMQ-6763,3,0
AMQ-2167,2,0
AMQ-6298,2,0
AMQ-2496,2,0
AMQ-2333,1,0
AMQ-5172,1,0
AMQ-473,1,0
AMQ-5856,1,0
AMQ-3753,1,0
AMQ-1354,1,0
AMQ-2581,1,0
AMQ-4936,1,0
AMQ-2225,2,0
AMQ-5564,2,0
AMQ-1792,2,0
AMQ-6521,1,0
AMQ-3132,1,0
AMQ-5695,2,0
AMQ-2161,1,0
AMQ-8569,1,0
AMQ-4040,1,0
AMQ-1205,1,0
AMQ-8478,1,0
AMQ-5052,1,0
AMQ-2495,2,0
AMQ-1234,1,0
AMQ-5800,2,0
AMQ-2962,1,0
AMQ-3697,1,0
AMQ-1920,2,0
AMQ-1276,1,0
AMQ-2155,1,0
AMQ-4182,1,0
AMQ-1240,2,0
AMQ-2286,2,0
AMQ-5334,1,0
AMQ-7507,2,0
AMQ-7350,2,0
AMQ-6201,1,0
AMQ-184,1,0
AMQ-2505,1,0
AMQ-3421,1,0
AMQ-3299,2,0
AMQ-2935,2,0
AMQ-6285,1,0
AMQ-4183,3,0
AMQ-6518,1,0
AMQ-199,1,0
AMQ-4051,1,0
AMQ-659,2,0
AMQ-2748,1,0
AMQ-6969,2,0
AMQ-4633,1,0
AMQ-4977,1,0
AMQ-2009,2,0
AMQ-2184,4,0
AMQ-1244,1,0
AMQ-1862,1,0
AMQ-3051,3,0
AMBARI-10355,1,0
AMBARI-20522,1,0
AMBARI-25096,1,0
AMBARI-11714,1,0
AMBARI-12478,1,0
AMBARI-12691,1,0
AMBARI-14453,1,0
AMBARI-12793,2,0
AMBARI-12480,2,0
AMBARI-18091,1,0
AMBARI-12107,1,0
AMBARI-17886,1,0
AMBARI-13751,1,0
AMBARI-9466,2,0
AMBARI-10320,2,0
AMBARI-14183,1,0
AMBARI-9016,3,0
AMBARI-14249,1,0
AMBARI-662,1,0
AMBARI-190,2,0
AMBARI-21028,2,0
AMBARI-9813,1,0
AMBARI-600,2,0
AMBARI-18115,2,0
AMBARI-13626,1,0
AMBARI-18900,2,0
AMBARI-18340,1,0
AMBARI-12612,1,0
AMBARI-5722,1,0
AMBARI-9229,2,0
AMBARI-17186,2,0
AMBARI-20673,2,0
AMBARI-25491,1,0
AMBARI-21972,1,0
AMBARI-23932,1,0
AMBARI-2509,1,0
AMBARI-18770,1,0
AMBARI-10630,1,0
AMBARI-6514,2,0
AMBARI-20974,2,0
AMBARI-2269,1,0
AMBARI-21117,2,0
AMBARI-22113,2,0
AMBARI-18224,2,0
AMBARI-9824,1,0
AMBARI-17843,1,0
AMBARI-19159,2,0
AMBARI-14550,1,0
AMBARI-17213,1,0
AMBARI-13597,1,0
AMBARI-13553,1,0
AMBARI-24974,1,0
AMBARI-1734,1,0
AMBARI-22553,1,0
AMBARI-22626,1,0
AMBARI-1846,2,0
AMBARI-18142,1,0
AMBARI-22690,1,0
AMBARI-14396,2,0
AMBARI-17748,1,0
AMBARI-8234,1,0
AMBARI-19180,1,0
AMBARI-19813,1,0
AMBARI-9334,1,0
AMBARI-12378,1,0
AMBARI-22514,1,0
AMBARI-23479,2,0
AMBARI-17807,1,0
AMBARI-7070,2,0
AMBARI-193,2,0
AMBARI-1735,2,0
AMBARI-17679,1,0
AMBARI-8793,1,0
AMBARI-6262,1,0
AMBARI-9660,1,0
AMBARI-12908,1,0
AMBARI-18923,1,0
AMBARI-20512,2,0
AMBARI-20432,1,0
AMBARI-9677,1,0
AMBARI-8840,1,0
AMBARI-10493,1,0
AMBARI-25479,3,0
AMBARI-18217,1.3333333333333333,0.5773502691896257
AMBARI-19869,3,0
AMBARI-18834,1,0
AMBARI-25545,1,0
AMBARI-12921,1,0
AMBARI-10849,1,0
AMBARI-13874,1,0
AMBARI-9341,1,0
AMBARI-18213,2,0
AMBARI-1772,1,0
AMBARI-18427,1,0
AMBARI-17694,2,0
AMBARI-6160,1,0
AMBARI-17801,1,0
AMBARI-15871,2,0
AMBARI-14745,1,0
AMBARI-12538,1,0
AMBARI-15634,1,0
AMBARI-6690,1,0
AMBARI-2104,1,0
AMBARI-17283,1,0
AMBARI-25056,1,0
AMBARI-9862,1,0
AMBARI-601,2,0
AMBARI-21702,1,0
AMBARI-4164,1,0
AMBARI-8794,1,0
AMBARI-23761,1,0
AMBARI-17469,1,0
AMBARI-17587,1,0
AMBARI-15486,1,0
AMBARI-14582,1,0
AMBARI-18239,1,0
AMBARI-11658,1,0
AMBARI-25233,1,0
AMBARI-20315,1,0
AMBARI-24237,1,0
AMBARI-23653,1,0
AMBARI-9022,1,0
AMBARI-20473,2,0
AMBARI-13107,1,0
AMBARI-19041,1,0
AMBARI-21707,1,0
AMBARI-330,1,0
AMBARI-14653,1,0
AMBARI-18099,2,0
AMBARI-15342,1,0
AMBARI-17682,1,0
AMBARI-9761,1,0
AMBARI-18203,1,0
AMBARI-11302,2,0
AMBARI-20538,2,0
AMBARI-11634,1,0
AMBARI-24916,2,0
AMBARI-16798,1,0
AMBARI-17296,1,0
AMBARI-7120,2,0
AMBARI-8378,2,0
AMBARI-23044,2,0
AMBARI-17523,1,0
AMBARI-19465,1,0
AMBARI-20542,2,0
AMBARI-188,2,0
AMBARI-14666,1,0
AMBARI-1677,2,0
AMBARI-17954,1,0
AMBARI-13575,1,0
AMBARI-22539,1,0
AMBARI-5877,1,0
AMBARI-14695,1,0
AMBARI-17661,1,0
AMBARI-12075,1,0
AMBARI-17253,1,0
AMBARI-16757,2,0
AMBARI-22705,1,0
AMBARI-17572,1,0
AMBARI-14659,1,0
AMBARI-18221,1,0
AMBARI-17810,1,0
AMBARI-20975,2,0
AMBARI-15982,1,0
AMBARI-13669,1,0
AMBARI-19997,1,0
AMBARI-16303,2,0
AMBARI-6517,1,0
AMBARI-7622,1,0
AMBARI-18234,1,0
AMBARI-21781,1,0
AMBARI-1362,1,0
AMBARI-565,1,0
AMBARI-16888,2,0
AMBARI-18275,1,0
AMBARI-6439,1,0
AMBARI-16974,1,0
AMBARI-9098,2,0
AMBARI-24941,1,0
AMBARI-15538,1,0
AMBARI-14442,1,0
AMBARI-17416,1,0
AMBARI-15909,1,0
AMBARI-17786,1,0
AMBARI-20494,2,0
AMBARI-24268,2,0
AMBARI-12442,1,0
AMBARI-18335,2,0
AMBARI-13291,1,0
AMBARI-18294,2,0
AMBARI-20523,2,0
AMBARI-20527,2,0
AMBARI-5645,1,0
AMBARI-7973,1,0
AMBARI-16025,1,0
AMBARI-15854,2,0
AMBARI-20072,1,0
AMBARI-10319,2,0
AMBARI-18228,2,0
AMBARI-6484,3,0
AMBARI-21798,2,0
AMBARI-14443,1,0
AMBARI-21012,2,0
AMBARI-17704,1,0
AMBARI-20539,2,0
AMBARI-24491,2,0
AMBARI-12785,1,0
AMBARI-20440,2,0
AMBARI-21053,2,0
AMBARI-6935,2,0
AMBARI-18169,2,0
AMBARI-18935,1,0
AMBARI-18285,2,0
AMBARI-20517,1,0
AMBARI-5456,1,0
AMBARI-10519,2,0
AMBARI-4911,2,0
AMBARI-24031,2,0
AMBARI-19068,1,0
AMBARI-17570,1,0
AMBARI-19441,1,0
AMBARI-5420,2,0
AMBARI-11424,1,0
AMBARI-11960,1,0
AMBARI-23138,1,0
AMBARI-15817,2,0
AMBARI-20344,2,0
AMBARI-13207,2,0
AMBARI-17688,1,0
AMBARI-16736,1,0
AMBARI-18316,2,0
AMBARI-17345,1,0
AMBARI-14290,1,0
AMBARI-24213,2,0
AMBARI-6438,1,0
AMBARI-20505,2,0
AMBARI-19457,1,0
AMBARI-18035,1,0
AMBARI-24382,1,0
AMBARI-228,1,0
AMBARI-14260,1,0
AMBARI-9171,2,0
AMBARI-17285,1,0
AMBARI-21776,2,0
AMBARI-23925,1,0
AMBARI-9421,1,0
AMBARI-17687,1,0
AMBARI-15770,2,0
AMBARI-12417,1,0
AMBARI-18026,2,0
AMBARI-21892,1,0
AMBARI-25473,1,0
AMBARI-25593,1,0
AMBARI-189,2,0
AMBARI-10495,1,0
AMBARI-1179,1,0
AMBARI-18135,1,0
AMBARI-2265,1,0
AMBARI-19145,2,0
AMBARI-13168,1.3333333333333333,0.5773502691896257
AMBARI-14358,1,0
AMBARI-22559,2,0
AMBARI-11004,1,0
AMBARI-24507,1,0
AMBARI-617,2,0
AMBARI-1359,1,0
AMBARI-15852,2,0
AMBARI-11607,1,0
AMBARI-19934,1,0
AMBARI-21710,1,0
AMBARI-13656,1,0
AMBARI-12823,1,0
AMBARI-8054,1,0
AMBARI-18208,2,0
AMBARI-18151,2,0
AMBARI-21095,1,0
AMBARI-1737,2,0
AMBARI-12834,2,0
AMBARI-21539,1,0
AMBARI-17291,1,0
AMBARI-17966,1,0
AMBARI-15249,1,0
AMBARI-17019,1,0
AMBARI-2527,1,0
AMBARI-15872,1,0
AMBARI-7149,1,0
AMBARI-20987,1,0
AMBARI-21347,1,0
AMBARI-2095,1,0
AMBARI-21729,2,0
AMBARI-15255,2,0
AMBARI-18345,1,0
AMBARI-12433,1,0
AMBARI-17942,2,0
AMBARI-20478,1,0
AMBARI-13937,1,0
AMBARI-14929,1,0
AMBARI-8043,1,0
AMBARI-18053,1,0
AMBARI-8267,2,0
AMBARI-21872,2,0
AMBARI-12343,2,0
AMBARI-12926,1,0
AMBARI-14315,1,0
AMBARI-9709,1,0
AMBARI-1665,1,0
AMBARI-18219,2,0
ARROW-8566,2,0
ARROW-12321,1,0
ARROW-15960,1,0
ARROW-2041,1,0
ARROW-3437,2,0
ARROW-8860,1,0
ARROW-5680,1,0
ARROW-10430,1,0
ARROW-15511,2,0
ARROW-8138,2,0
ARROW-15318,1,0
ARROW-11102,1,0
ARROW-12112,2,0
ARROW-4480,2,0
ARROW-12093,1,0
ARROW-8406,2,0
ARROW-9652,1,0
ARROW-13636,2,0
ARROW-14911,2,0
ARROW-15928,1,0
ARROW-12433,1,0
ARROW-13982,1,0
ARROW-9888,1,0
ARROW-10498,1,0
ARROW-16980,1,0
ARROW-10928,2,0
ARROW-8429,2,0
ARROW-15899,1,0
ARROW-13602,1,0
ARROW-2280,2,0
ARROW-7405,1,0
ARROW-15045,2,0
ARROW-15401,1,0
ARROW-198,1,0
ARROW-15490,2,0
ARROW-5300,1,0
ARROW-9208,2,0
ARROW-16225,2,0
ARROW-4497,1,0
ARROW-114,1,0
ARROW-12576,3,0
ARROW-12542,1,0
ARROW-933,2,0
ARROW-7030,2,0
ARROW-7244,2,0
ARROW-6044,2,0
ARROW-16519,1,0
ARROW-2326,2,0
ARROW-15397,1,0
ARROW-14215,1,0
ARROW-15312,1.75,0.5
ARROW-9974,1,0
ARROW-5932,1,0
ARROW-13115,1,0
ARROW-9354,2,0
ARROW-10834,1,0
ARROW-10038,1,0
ARROW-14197,1,0
ARROW-2246,2,0
ARROW-4886,2,0
ARROW-14087,1,0
ARROW-10739,1,0
ARROW-14208,1,0
ARROW-8535,1,0
ARROW-9903,1,0
ARROW-12103,2,0
ARROW-4851,1,0
ARROW-16822,2,0
ARROW-9326,2,0
ARROW-6214,1,0
ARROW-7535,2,0
ARROW-13743,1,0
ARROW-7789,1,0
ARROW-13940,1,0
ARROW-2227,2,0
ARROW-1599,1,0
ARROW-13169,2,0
ARROW-16778,2,0
ARROW-10226,2,0
ARROW-13694,1,0
ARROW-1664,1,0
ARROW-6766,2,0
ARROW-16143,2,0
ARROW-4917,1,0
ARROW-15822,1,0
ARROW-2911,2,0
ARROW-14344,2,0
ARROW-16546,1,0
ARROW-11239,2,0
ARROW-14340,2,0
ARROW-14047,2,0
ARROW-8374,1,0
ARROW-5202,1,0
ARROW-4260,3,0
ARROW-2500,1,0
ARROW-6235,1,0
ARROW-5103,1,0
ARROW-8825,3,0
ARROW-7451,1,0
ARROW-4688,2,0
ARROW-7520,2,0
ARROW-16393,2,0
ARROW-4774,2,0
ARROW-13134,1,0
ARROW-7288,1,0
ARROW-16864,1,0
ARROW-7852,3,0
ARROW-7654,1,0
ARROW-12006,1,0
ARROW-8238,1.5,0.7071067811865476
ARROW-10152,3,0
ARROW-16372,1,0
ARROW-11030,2,0
ARROW-15459,1,0
ARROW-8365,2,0
ARROW-10485,2,0
ARROW-13592,2,0
ARROW-13512,2,0
ARROW-14550,1,0
ARROW-12142,1,0
ARROW-3828,2,0
ARROW-6801,2,0
ARROW-4872,2,0
ARROW-16464,1,0
ARROW-10271,2,0
ARROW-6886,2,0
ARROW-16775,1,0
ARROW-5658,1.5,0.7071067811865476
ARROW-2208,2,0
ARROW-9606,1,0
ARROW-2599,3,0
ARROW-4034,2,0
ARROW-9785,2,0
ARROW-14526,2,0
ARROW-9071,1,0
ARROW-15520,1,0
ARROW-9237,2,0
ARROW-7650,1,0
ARROW-12839,1,0
ARROW-7553,1,0
ARROW-11853,1,0
ARROW-6682,1.5,0.7071067811865476
ARROW-14638,2,0
ARROW-16009,1,0
ARROW-15144,2,0
ARROW-13799,1,0
ARROW-6046,2,0
ARROW-6895,1,0
ARROW-4411,2,0
ARROW-8801,1.3333333333333333,0.5773502691896257
ARROW-14722,1,0
ARROW-16413,1,0
ARROW-16897,2,0
ARROW-13588,2,0
ARROW-9676,2,0
ARROW-5117,2,0
ARROW-15326,2,0
ARROW-4469,1,0
ARROW-13329,2,0
ARROW-16678,2,0
ARROW-4809,2,0
ARROW-11229,2,0
ARROW-10913,1,0
ARROW-11448,2,0
ARROW-16219,2,0
ARROW-5744,1,0
ARROW-6348,3,0
ARROW-3324,2,0
ARROW-9536,1,0
ARROW-15414,1,0
ARROW-7690,1,0
ARROW-17066,1,0
ARROW-4766,2,0
ARROW-6806,1,0
ARROW-2303,1,0
ARROW-3241,2,0
ARROW-12201,1,0
ARROW-7040,1,0
ARROW-16586,2,0
ARROW-5142,2,0
ARROW-16037,2,0
ARROW-5764,2,0
ARROW-7956,1,0
ARROW-13216,2,0
ARROW-1837,2,0
ARROW-12338,2,0
ARROW-14253,1,0
ARROW-9351,2,0
ARROW-14787,2,0
ARROW-9349,2,0
ARROW-3663,4,0
ARROW-16013,1,0
ARROW-15858,1,0
ARROW-6869,2,0
ARROW-14136,2,0
ARROW-7740,2,0
ARROW-10856,1,0
ARROW-14323,1,0
ARROW-14434,1,0
ARROW-11763,1,0
ARROW-16904,1,0
ARROW-13860,1,0
ARROW-13601,1,0
ARROW-10088,1.3333333333333333,0.5773502691896257
ARROW-13981,1,0
ARROW-2300,2,0
ARROW-12161,2,0
ARROW-16238,1,0
ARROW-12100,2,0
ARROW-7640,2,0
ARROW-10971,2,0
ARROW-12790,1,0
ARROW-7830,2,0
ARROW-13384,2,0
ARROW-12885,2,0
ARROW-6547,1,0
ARROW-14930,2,0
ARROW-16700,2,0
ARROW-5540,2,0
ARROW-15977,1,0
ARROW-7018,1,0
ARROW-8411,2,0
ARROW-7503,2,0
ARROW-14179,1,0
ARROW-6701,2,0
ARROW-3393,2,0
ARROW-3190,2,0
ARROW-12636,1,0
ARROW-9874,1,0
ARROW-16692,2,0
ARROW-13624,1,0
ARROW-7723,2,0
ARROW-13382,2,0
ARROW-15938,1,0
ARROW-6389,2,0
ARROW-8510,2,0
ARROW-12840,1,0
ARROW-11301,1,0
ARROW-12582,2,0
ARROW-5144,1,0
ARROW-5578,1,0
ARROW-7618,2,0
ARROW-13135,1,0
ARROW-2461,2,0
ARROW-9438,2,0
ARROW-12408,2,0
ARROW-6182,1,0
ARROW-11694,1,0
ARROW-1778,2,0
ARROW-15500,1.5,0.7071067811865476
ARROW-11957,1,0
ARROW-6992,1,0
ARROW-15733,1,0
ARROW-5868,2,0
ARROW-4712,2,0
ARROW-8006,1,0
ARROW-10033,1,0
ARROW-3543,1,0
ARROW-8909,1,0
ARROW-16336,1,0
ARROW-5089,1,0
ARROW-15324,2,0
ARROW-11189,1,0
ARROW-13198,2,0
ARROW-10489,2,0
ARROW-15837,1,0
ARROW-16932,2,0
ARROW-8536,1,0
ARROW-4301,2,0
ARROW-4413,2,0
ARROW-15677,2,0
ARROW-14313,2,0
ARROW-15908,2,0
ARROW-11427,2,0
ARROW-11085,2,0
ARROW-12663,2,0
ARROW-2917,2,0
ARROW-7867,1,0
ARROW-11075,2,0
ARROW-10457,2,1.4142135623730951
ARROW-6640,2,0
ARROW-2814,2,0
ARROW-15948,1,0
ARROW-12487,2,0
ARROW-1692,2,0
ARROW-11456,2,0
ARROW-7545,1,0
ARROW-10346,1,0
ARROW-16611,1,0
ARROW-11051,2,0
AXIS2-3337,1,0
AXIS2-409,2,0
AXIS2-3731,1,0
AXIS2-1561,2,0
AXIS2-4927,1,0
AXIS2-2415,2,0
AXIS2-4663,2,0
AXIS2-850,1.5,0.7071067811865476
AXIS2-1343,2,0
AXIS2-5760,3,0
AXIS2-831,2,0
AXIS2-3532,1,0
AXIS2-4218,1,0
AXIS2-4305,2,0
AXIS2-957,2,0
AXIS2-2791,2,0
AXIS2-4947,1,0
AXIS2-5199,2,0
AXIS2-2129,2,0
AXIS2-3246,1,0
AXIS2-2352,2,0
AXIS2-1939,2,0
AXIS2-5410,1,0
AXIS2-5006,2,0
AXIS2-994,2,0
AXIS2-3046,1,0
AXIS2-4896,1,0
AXIS2-3629,1,0
AXIS2-960,2,0
AXIS2-4460,1,0
AXIS2-4353,2,0
AXIS2-653,1.75,0.5
AXIS2-4191,1,0
AXIS2-3006,2,0
AXIS2-2643,2,0
AXIS2-2780,2,0
AXIS2-2792,2,0
AXIS2-1107,2,0
AXIS2-928,1,0
AXIS2-1754,2,0
AXIS2-3547,2,0
AXIS2-1644,2,0
AXIS2-1308,2,0
AXIS2-2249,2,0
AXIS2-3675,1,0
AXIS2-968,1,0
AXIS2-5052,1,0
AXIS2-1606,2,0
AXIS2-1708,1.5,0.7071067811865476
AXIS2-2756,1.5,0.7071067811865476
AXIS2-3552,1,0
AXIS2-1537,1,0
AXIS2-101,1,0
AXIS2-2702,1.5,0.7071067811865476
AXIS2-5093,1,0
AXIS2-1986,2,0
AXIS2-2710,1.5,0.7071067811865476
AXIS2-3514,1,0
AXIS2-2703,2,0
AXIS2-4588,2,0
AXIS2-3560,2,0
AXIS2-2635,2,0
AXIS2-2734,1,0
AXIS2-5609,1,0
AXIS2-1384,2,0
