Name,Key,LOCAveC,LOCAveN,NOFAveC,NOFAveN,NOPAveC,NOPAveN,EntropyAveC,EntropyAveN
activemq,AMQ,194,173,4.45,4.88,3.39,3.57,0.18,0.24
ambari,AMBARI,146,142,5.23,5.1,3.89,3.88,0.45,0.46
arrow,ARROW,181,111,4.92,4.55,2.93,2.88,0.5,0.47
axis2,AXIS2,219,154,4.7,4.62,3.66,3.41,0.39,0.32
camel,CAMEL,121,109,4.45,4.69,3.44,3.46,0.18,0.22
cloudstack,CLOUDSTACK,101,103,4.06,4,3.21,3.24,0.19,0.14
cordova,CB,56,94,2.79,3.19,2.42,2.46,0.18,0.18
drill,DRILL,319,222,7.13,6.44,4.79,4.37,0.27,0.25
flink,FLINK,217,181,6.21,5.7,4.35,4.12,0.14,0.15
geode,GEODE,388,283,5.05,6.11,3.8,4.12,0.29,0.33
groovy,GROOVY,122,127,4.12,3.94,3.42,3.35,0.24,0.26
guacamole,GUACAMOLE,139,144,4.54,4.13,2.74,2.89,0.08,0.08
hadoop,"HADOOP, MAPREDUCE, YARN, HDFS",106,93,4.67,4.03,3.71,3.25,0.31,0.24
hbase,HBASE,186,123,5.34,4.41,3.66,3.25,0.33,0.27
hive,HIVE,180,144,5.25,4.55,3.68,3.33,0.32,0.24
hudi,HUDI,180,133,7.61,5.36,5.87,4.27,0.64,0.47
ignite,IGNITE,257,219,7.83,6.46,5.39,4.54,0.49,0.4
impala,IMPALA,128,97,5.53,4.56,3.29,3.04,0.19,0.16
jackrabbit-oak,OAK,155,146,4.76,4.69,3.55,3.34,0.33,0.35
kafka,KAFKA,250,164,7.45,5.76,4.75,3.95,0.63,0.51
mesos,MESOS,110,59,2.27,2.88,2.18,2.32,0,0.15
netbeans,NETBEANS,82,135,3.9,4.44,3.44,3.52,0.03,0.06
nifi,NIFI,231,170,6.03,4.84,4.21,3.63,0.14,0.14
ofbiz,OFBIZ,38,36,3.29,2.62,2.9,2.38,0.11,0.1
ozone,HDDS,200,146,6.73,5.61,5.02,4.18,0.56,0.38
qpid,QPID,167,167,5.04,5.59,3.7,3.61,0.36,0.39
solr,LUCENE,162,188,5.5,6.47,3.75,4.15,0.42,0.43
solr,SOLR,157,121,5,4.31,3.7,3.24,0.39,0.32
spark,SPARK,103,81,4.39,4.29,3.57,3.52,0.45,0.47
thrift,THRIFT,125,64,4.61,3.24,3.2,2.53,0.17,0.1
trafficserver,TS,102,95,4.51,4.51,3,2.92,0.27,0.23
wicket,WICKET,124,95,4.56,3.59,3.18,2.96,0.21,0.17
