Project,CommentCountAveC,CommentCountAveN,CommentLengthAveC,CommentLengthAveN,CommentPeopleCountAveC,CommentPeopleCountAveN
activemq,6.1,3.47,2632,1482,2.93,1.96
ambari,4.87,3.38,2581,1683,2.87,2.27
arrow,5.34,3.12,2696,1676,2.4,1.72
axis2,5.18,2.86,2261,1069,2.75,1.88
camel,4.72,3.26,1858,1216,2.03,1.69
cloudstack,8.69,5.8,5388,4490,3.4,2.14
cordova,6.63,4.56,4067,3027,2.83,2.1
drill,5.61,4.49,4716,6714,2.5,1.97
flink,8.92,5.07,5868,3513,3.22,2.06
geode,5.63,4.49,7425,8363,2.36,1.78
groovy,5.39,3.24,2241,1148,2.48,1.83
guacamole,5.24,2.85,4101,1533,2.23,1.59
hadoop,15.8,9.43,11643,7169,4.92,3.53
hbase,21.22,11,16647,7587,5.11,3.78
hive,10.49,6.75,11904,9749,3.73,2.82
hudi,2.99,2.94,2933,4487,1.64,1.28
ignite,4.92,3.5,2979,1466,2.52,2.1
impala,5.49,2.91,3418,1888,2.76,1.84
jackrabbit-oak,7.31,4.47,2244,1864,2.79,2.08
kafka,9.34,4.39,7424,3672,3.86,2.32
lucene,11.49,7.4,11498,2992,3.72,2.84
mesos,5.86,3.14,10100,2622,2.94,1.85
netbeans,6.39,2.59,7245,6746,2.66,1.47
nifi,6.88,4.52,4064,2702,2.72,2.07
ofbiz,7.67,4.39,3601,1481,2.96,2.19
ozone,5.04,3.24,5289,3524,2.81,2.07
qpid,4.97,2.93,2012,926,2.5,1.9
solr,12.76,6.4,5575,2738,4.18,2.82
spark,5.94,3.41,3575,1297,3.13,2.17
thrift,7.31,4.58,2848,1677,2.73,2.41
trafficserver,7.81,4.72,3897,2074,3.19,2.16
wicket,6.32,3.91,1981,1176,2.76,2.02
