Project,Creator,CreatorP,Assignee,AssigneeP,CreatorAssignee,CreatorAssigneeP,Commenter,CommenterP,FieldModifier,FieldModifierP,CommenterFieldModifier,CommenterFieldModifierP,Others,OthersP,Total
ActiveMQ,98,42.4,30,13,9,3.9,27,11.7,19,8.2,41,17.7,7,3,231
Ambari,45,14.2,27,8.5,119,37.5,9,2.8,19,6,66,20.8,32,10.1,317
Arrow,67,21.2,55,17.4,39,12.3,14,4.4,28,8.9,93,29.4,20,6.3,316
Axis2,104,20.7,84,16.7,3,0.6,61,12.1,41,8.2,132,26.2,78,15.5,503
Camel,70,8.1,418,48.2,43,5,33,3.8,44,5.1,232,26.8,27,3.1,867
CloudStack,304,29.6,120,11.7,75,7.3,96,9.3,134,13,183,17.8,115,11.2,1027
Cordova,144,15.7,234,25.5,43,4.7,49,5.3,150,16.4,234,25.5,62,6.8,916
Drill,167,25.9,57,8.9,44,6.8,17,2.6,191,29.7,134,20.8,34,5.3,644
Flink,333,12.7,219,8.3,168,6.4,180,6.8,221,8.4,1220,46.4,288,11,2629
Geode,73,46.2,16,10.1,31,19.6,0,0,11,7,26,16.5,1,0.6,158
Groovy,50,13.1,134,35.2,10,2.6,30,7.9,60,15.7,84,22,13,3.4,381
Guacamole,13,5.8,26,11.5,1,0.4,42,18.6,22,9.7,90,39.8,32,14.2,226
Hadoop,347,13.8,259,10.3,451,18,145,5.8,205,8.2,948,37.8,152,6.1,2507
Hbase,222,17.5,132,10.4,258,20.3,96,7.5,44,3.5,489,38.4,31,2.4,1272
Hive,122,22.2,45,8.2,173,31.5,36,6.6,12,2.2,135,24.6,26,4.7,549
Hudi,41,15.9,33,12.8,35,13.6,0,0,113,43.8,29,11.2,7,2.7,258
Ignite,187,27.7,78,11.6,123,18.2,14,2.1,100,14.8,115,17.1,57,8.5,674
Impala,77,4.3,283,15.8,67,3.7,97,5.4,395,22,603,33.6,270,15.1,1792
Jackrabbit-Oak,40,22.1,31,17.1,47,26,4,2.2,19,10.5,36,19.9,4,2.2,181
Kafka,152,21.7,74,10.6,79,11.3,28,4,99,14.1,227,32.4,42,6,701
Lucene,35,16.4,57,26.8,24,11.3,13,6.1,6,2.8,43,20.2,35,16.4,213
Mesos,78,15.3,58,11.4,57,11.2,34,6.7,77,15.1,162,31.8,44,8.6,510
Netbeans,164,43.5,32,8.5,16,4.2,63,16.7,13,3.4,66,17.5,23,6.1,377
NiFi,86,36,39,16.3,26,10.9,5,2.1,19,7.9,52,21.8,12,5,239
OFBiz,53,22.3,70,29.4,15,6.3,29,12.2,14,5.9,38,16,19,8,238
Ozone,16,7.7,15,7.2,22,10.5,11,5.3,63,30.1,33,15.8,49,23.4,209
Qpid,72,31.3,29,12.6,35,15.2,3,1.3,14,6.1,74,32.2,3,1.3,230
Solr,103,24.9,107,25.9,74,17.9,27,6.5,8,1.9,80,19.4,14,3.4,413
Spark,347,17.1,149,7.3,170,8.4,176,8.7,280,13.8,744,36.7,162,8,2028
Thrift,42,20.8,40,19.8,30,14.9,20,9.9,8,4,52,25.7,10,5,202
Traffic Server,50,27.9,27,15.1,29,16.2,2,1.1,19,10.6,51,28.5,1,0.6,179
Wicket,45,19.7,94,41.2,2,0.9,27,11.8,7,3.1,47,20.6,6,2.6,228
All,3400,18.2,2813,15,1867,10,1243,6.6,2250,12,5611,30,1524,8.1,18708
