Name,CreateTotal,CreatePreferC,CreatePreferP,AssigneeTotal,AssigneePreferC,AssigneePreferP,ModifyTotal,ModifyPreferC,ModifyPreferP,IncPreferC,IncPreferP,DecPreferC,DecPreferP,RePreferC,RePreferP
ActiveMQ,52,8,15.4,53,8,15.1,15,3,20,5,33.3,8,53.3,2,13.3
Ambari,43,5,11.6,43,5,11.6,34,4,11.8,31,91.2,3,8.8,0,0
Arrow,42,3,7.1,42,6,14.3,26,4,15.4,14,53.8,9,34.6,3,11.5
Axis2,60,10,16.7,63,11,17.5,21,1,4.8,12,57.1,6,28.6,3,14.3
Camel,64,12,18.8,67,12,17.9,26,3,11.5,10,38.5,16,61.5,0,0
CloudStack,56,12,21.4,60,8,13.3,57,8,14,37,64.9,14,24.6,6,10.5
Cordova,94,15,16,95,13,13.7,39,6,15.4,10,25.6,25,64.1,4,10.3
Drill,28,3,10.7,28,4,14.3,28,4,14.3,14,50,11,39.3,3,10.7
Flink,59,8,13.6,60,6,10,57,4,7,41,71.9,14,24.6,2,3.5
Geode,26,2,7.7,26,2,7.7,10,1,10,0,0,8,80,2,20
Groovy,79,9,11.4,80,9,11.3,28,4,14.3,14,50,12,42.9,2,7.1
Guacamole,4,1,25,4,1,25,3,1,33.3,0,0,3,100,0,0
Hadoop,282,42,14.9,292,46,15.8,229,30,13.1,145,63.3,62,27.1,22,9.6
Hbase,47,8,17,47,7,14.9,42,6,14.3,29,69,10,23.8,3,7.1
Hive,86,12,14,86,13,15.1,52,7,13.5,36,69.2,12,23.1,4,7.7
Hudi,17,1,5.9,17,1,5.9,11,2,18.2,10,90.9,1,9.1,0,0
Ignite,58,10,17.2,58,10,17.2,51,6,11.8,31,60.8,17,33.3,3,5.9
Impala,19,3,15.8,26,3,11.5,24,1,4.2,18,75,5,20.8,1,4.2
Jackrabbit-Oak,12,1,8.3,12,1,8.3,11,1,9.1,4,36.4,5,45.5,2,18.2
Kafka,81,13,16,85,17,20,50,4,8,39,78,8,16,3,6
Lucene,24,3,12.5,24,3,12.5,22,2,9.1,5,22.7,16,72.7,1,4.5
Mesos,38,6,15.8,38,3,7.9,36,5,13.9,22,61.1,11,30.6,3,8.3
Netbeans,77,9,11.7,80,14,17.5,39,4,10.3,16,41,20,51.3,3,7.7
NiFi,40,8,20,40,8,20,22,4,18.2,8,36.4,13,59.1,1,4.5
OFBiz,61,9,14.8,63,9,14.3,29,2,6.9,7,24.1,22,75.9,0,0
Ozone,17,2,11.8,17,2,11.8,14,1,7.1,11,78.6,0,0,3,21.4
Qpid,15,2,13.3,15,2,13.3,14,1,7.1,2,14.3,11,78.6,1,7.1
Solr,45,8,17.8,46,7,15.2,40,7,17.5,19,47.5,17,42.5,4,10
Spark,183,21,11.5,185,27,14.6,92,16,17.4,46,50,36,39.1,10,10.9
Thrift,34,7,20.6,34,6,17.6,14,2,14.3,4,28.6,9,64.3,1,7.1
Traffic Server,17,3,17.6,17,3,17.6,10,2,20,9,90,1,10,0,0
Wicket,67,9,13.4,69,8,11.6,22,5,22.7,7,31.8,15,68.2,0,0
